id,source,title,url,date,year,text,label,label_str,group_key,n_words,model
1,Kompas,"Pertama Kali dalam Sejarah, Kasus Perampokan Bank Terjadi di Arktik",https://internasional.kompas.com/read/2018/12/21/21531271/pertama-kali-dalam-sejarah-kasus-perampokan-bank-terjadi-di-arktik,"December 21, 2018",2018,"Kasus perampokan bank terjadi di sebuah pulau terpencil di Svalbard, kepulauan Norwegia, kawasan Arktik. Insiden yang disebut baru pertama kali terjadi dalam sejarah. Aksi perampokan sebuah bank yang terjadi di permukiman paling utara di dunia itu dilakukan seorang pria yang tak diungkapkan identitasnya, pada Jumat (21/12/2018). Dilansir dari AFP, perampokan bank itu menjadi yang pertama kali terjadi di wilayah itu, sepanjang yang diketahui. Pelaku disebut menggunakan senjata untuk merampok bank yang berada di kawasan Samudera Arktik, sekitar separuh perjalanan antara Norwegia dan Kutub Utara. ""Insiden perampokan bersenjata terjadi sekitar pukul 10.40 pagi (waktu setempat),"" kata juru bicara gubernur, Terje Carlsen, kepada AFP, Jumat (21/12/2018). ""Seorang pria dengan membawa senjata api menyita sejumlah uang dari kasir bank,"" lanjut Carlsen. Tidak diungkapkan besar uang yang diambil pelaku maupun nama bank yang menjadi sasaran perampokan. Namun pelaku perampokan dilaporkan dapat ditangkap pihak berwajib hanya berselang beberapa jam setelah kejadian. Kasus perampokan bank tersebut, bagaimanapun, dikatakan petugas memiliki peluang berhasil yang cukup rendah. Selain karena kawasan yang banyak dikelilingi gletser dan daratan es, dengan jumlah penduduk sekitar 2.000 jiwa di ibu kota Longyearbyen, hampir semua saling mengenal. Selain itu, jalur udara menjadi satu-satunya cara untuk keluar dari permukiman dan harus melalui bandara yang ada. Pihak berwenang menolak memberikan keterangan lebih rinci terkait kasus perampokan tersebut. Kepulauan Svalbard yang masih menjadi bagian dari Norwegia, memiliki luas wilayah sekitar 60.000 kilometer persegi atau hampir dua kali dari negara Belgia. Wilayah kepulauan itu terletak sekitar 1.000 kilometer dari Kutub Utara. Saat musim dingin, suhu udara di wilayah itu dapat turun hingga mencapai minus 20 sampai minus 40 derajat Celsius.",0,manusia,1,262,manusia
2,Kompas,Freeport Janji Buat Smelter Dalam Lima Tahun ke Depan,https://ekonomi.kompas.com/read/2018/12/21/221100326/freeport-janji-buat-smelter-dalam-lima-tahun-ke-depan,"December 21, 2018",2018,"Direktur Utama PT Freeport Indonesia (PTFI) Tony Wenas mengaku akan segera membangun smelter. Diharapkan smelter itu bisa rampung dalam lima tahun ke depan. ""(Smelter) Itu akan kita bangun dalam waktu lima tahun,"" ujar Tony di kantor Kementerian ESDM, Jakarta, Jumat (21/12/2018). Namun, Tony belum bisa merincikan dimana lokasi tepatnya smelter itu akan dibangun. ""Akan segera kita tentukan di mana. Ini juga harapan pemerintah untuk memberikan nilai tambah,"" kata Tony. resmi membeli sebagian saham PT Freeport Indonesia (PTFI). Dengan begitu, kepemilikan saham Indonesia atas PTFI meningkat dari 9 persen menjadi 51 persen. Resminya pengalihan saham tersebut ditandai dengan proses pembayaran dan terbitnya Izin Usaha Pertambangan Khusus Operasi Produksi (IUPK) sebagai pengganti Kontrak Karya (KK) PTFI yang telah berjalan sejak tahun 1967 dan diperbaharui di tahun 1991 dengan masa berlaku hingga 2021. Dengan terbitnya IUPK ini, PTFI akan mendapatkan kepastian hukum dan kepastian berusaha dengan mengantongi perpanjangan masa operasi 2 x 10 tahun hingga 2041, serta mendapatkan jaminan fiskal dan regulasi. PTFI juga akan membangun pabrik peleburan (smelter) dalam jangka waktu lima tahun. Terkait dengan pengalihan saham, Inalum telah membayar 3,85 miliar dollar AS kepada Freeport McMoRan Inc. (FCX) dan Rio Tinto, untuk membeli sebagian saham FCX dan hak partisipasi Rio Tinto di PTFI sehingga kepemilikan Inalum meningkat dari 9,36 persen menjadi 51,23 persen. Kepemilikan 51,23 persen tersebut nantinya akan terdiri dari 41,23 persen untuk Inalum dan 10 persen untuk Pemerintah Daerah Papua. Saham Pemerintah Daerah Papua akan dikelola oleh perusahaan khusus PT Indonesia Papua Metal dan Mineral (IPPM) yang 60 persen sahamnya akan dimiliki oleh Inalum dan 40 persen oleh BUMD Papua.",0,manusia,2,261,manusia
3,Kompas,"""Flyover"" Manahan Solo Resmi Dioperasikan, Pesepeda, Truk dan Bus Dilarang Melintas",https://regional.kompas.com/read/2018/12/21/23360691/flyover-manahan-solo-resmi-dioperasikan-pesepeda-truk-dan-bus-dilarang,"December 21, 2018",2018,"Pemerintah Kota (Pemkot) Surakarta secara resmi mengoperasikan jalan layang (flyover) Manahan, Solo, Jawa Tengah, Jumat (21/12/2018). Pengoperasian flyover Manahan tersebut sebagai upaya Pemkot Surakarta mengurai kamacetan sekaligus menyambut angkutan Natal 2018 dan Tahun Baru 2019. Kepala Bidang Lalu Lintas Dinas Perhubungan Kota Surakarta, Ari Wibowo mengatakan, meskipun jalan layang Manahan telah dibuka, ada beberapa kendaraan yang dilarang melintas. Hal ini untuk mengantisipasi kemacetan kendaraan di jalan layang Manahan. Adapun kendaraan yang tidak diperbolehkan melintas itu adalah truk dan bus, baik antar kota dalam provinsi (AKDP) maupun antar kota antar provinsi (AKAP). ""Kendaraan angkutan berat, baik truk maupun bus tidak diperbolehkan naik melintas di jalan layang,"" kata Ari ditemui di Solo, Jawa Tengah, Jumat. Selain itu, kata Ari, pesepeda juga dilarang untuk melintas di flyover Manahan. Pihaknya akan menunggu kajian lebih dahulu dari Wali Kota Surakarta dan Dinas Pekerjaan Umum dan Penataan Ruang Kota Surakarta. pesepeda dan pejalan kaki akan dibuatkan jalan khusus di kawasan tersebut. ""Sudah kita pasang rambu larangan pesepeda dan pejalan kaki naik ke atas (flyover),"" kata dia. Sementara untuk mengatasi penumpukan kendaraan di Jalan dr Moewardi, pedagang kaki lima (PKL) yang setiap sore berjualan di trotoar kawasan tersebut dipindahkan ke sisi selatan Lapangan Kottabarat. ""PKL Jalan dr Moewardi sisi timur akan dipindah ke area parkir sisi selatan Lapangan Kottabarat. Supaya tidak menimbulkan kemacetan di kawasan tersebut,"" ungkapnya. PKL dipindahkan Wali Kota Surakarta FX Hadi Rudyatmo mengatakan, semua PKL di Jalan dr Moewardi di sisi timur dipindahkan ke dalam Lapangan Kottabarat. Mereka menempati area parkir sisi selatan Lapangan Kottabarat. Jika PKL ini tidak dimasukkan ke area parkir sisi selatan Lapangan Kottabarat justru akan menimbulkan kemacetan di kawasan tersebut. Sebab, PKL ini berjualan mulai dari sore hingga malam. ""PKL kita masukkan ke area parkir sisi selatan Lapangan Kottabarat. Mereka memasang tenda sendiri di sana,"" katanya. memindahkan PKL ke area parkir selatan Lapangan Kottabarat, pihaknya juga akan mengurangi trotoar di jalan tersebut. Hal itu agar kendaraan dari arah utara yang belok kiri di perempatan Kottabarat tidak terlalu berada di tengah jalan. ""Trotoar Jalan dr Moewardi ini nanti bisa dikurangi sehingga kendaraan saat manuver di sini tidak terlalu di tengah,"" imbuhnya.",0,manusia,3,350,manusia
4,Detik,Alissa Wahid: Gus Dur Pentingkan Kemanusiaan ketimbang Politik,https://news.detik.com/berita/d-4354733/alissa-wahid-gus-dur-pentingkan-kemanusiaan-ketimbang-politik,"December 21, 2018",2018,"""Momen ini untuk mengkaji teladan perjalanan kehidupan beliau. Kami ambil dari kata beliau, yakni 'yang lebih penting dari politik adalah kemanusiaan',"" kata Alissa dalam acara Haul ke-9 Gus Dur, di Ciganjur, Jakarta Selatan, Jumat (21/12/2018). Alissa menjelaskan kalimat 'yang lebih penting dari politik adalah kemanusiaan' itu juga dijadikan tema haul ke-9 Gus Dur kali ini. Menurutnya, kalimat itu sangat relevan dengan kehidupan Indonesia di tengah tahun politik.",0,manusia,4,67,manusia
5,Detik,Cerita Djarot Saat Diusir Warga Karena Jadi Cawagub Ahok,https://news.detik.com/berita/d-4354727/cerita-djarot-saat-diusir-warga-karena-jadi-cawagub-ahok,"December 21, 2018",2018,"Djarot, yang berpasangan dengan Basuki Tjahaja Purnama (Ahok), diusir oleh warga selepas salat Jumat di Masjid Al-Atiq di Tebet pada 14 April 2017. Djarot dianggap tidak pro-Islam karena berpasangan dengan Ahok, yang sedang menjalani proses hukum kasus penistaan agama. ""Saudara-saudara, saya mengalami bagaimana rasanya diusir ketika menunaikan ibadah salat. Saya bilang, ya Allah, sabar... sabar.... Karena mereka banyak yang belum paham,"" ucap Djarot dalam Rapat Konsolidasi Pemenangan Pileg dan Pilpres 2019 di Hotel Horison, Tangerang, Jumat (21/12/2018). Djarot menilai hal seperti itu terjadi saat kampanye Pemilu 2019. Terlebih soal fitnah kepada capres Joko Widodo (Jokowi), yang diusung PDIP dan koalisinya. ""Bagaimana Pak Jokowi difitnah, katanya tidak dekat dengan ulama, padahal calon wakil adalah KH Ma'ruf Amin, Ketua MUI. Tapi mereka tidak peduli, di-switch-lah, Pak Jokowi PKI,"" ucap Djarot. Djarot merasa lebih baik membandingkan para calon secara objektif, baik untuk pasangan Jokowi-Ma'ruf Amin maupun Prabowo Subianto-Sandiaga Uno. ""Sekarang diadu, pihak sebelah sini seperti apa, sebelah sana seperti apa. Siapa Pak Jokowi, siapa Pak Prabowo, siapa Pak Ma'ruf Amin, siapa Pak Sandiaga Uno,"" kata Djarot. ""Bagaimana prestasinya. Apa yang sudah dikerjakan. Apa yang dikerjakan Jokowi, apa yang dikerjakan Prabowo. Gitu saja,"" ucapnya.",0,manusia,5,190,manusia
6,Detik,"Diusut Polisi, Siapa Atur Skor Sepakbola Indonesia?",https://news.detik.com/berita/d-4354714/diusut-polisi-siapa-atur-skor-sepakbola-indonesia,"December 21, 2018",2018,"Inisiatif diungkap Kapolri Jendral Tito Karnavian dalam acara Mata Najwa episode 'PSSI Bisa Apa? Jilid 2' pada Rabu (19/12). ""Sudah waktunya bagi kepolisian melihat tuntutan yang ada dari masyarakat. Sudah waktunya kami melihat ini tak bisa dibiarkan. Ini bisa menjadi awal mula kasus penipuan yang sistematis"" kata Tito malam itu. Tito mendapat saran dari pengamat hukum olahraga untuk mengusut problem menahun ini menggunakan UU No 11 Tahun 1980 soal Tindak Pidana Suap. Dua hari berselang, Mabes Polri dan Polda Metro Jaya membentuk Satgas Antimafia Bola. Satgas ini tak hanya berfokus pada kelompok kecil. Polri menyatakan akan mengusut semua pihak yang terlibat dalam skandal sepakbola. ""Kami ingin menyampaikan berkaitan dengan langkah konkret dari Satgas Antimafia Bola. Jadi Mabes Polri dan Polda Metro Jaya itu sudah membentuk Satgas Antimafia Bola yang dibentuk sesuai dengan surat perintah Bapak Kapolri Nomor 3678 tanggal 21 Desember 2018. Tim ini diketuai oleh Brigjen Hendro Pandowo (Karo Provos Polri), kemudian wakasatgasnya adalah Brigjen Krishna Murti (Karo Misinter Divisi Hubintern Polri),"" ujar Kabid Humas Polda Metro Jaya Kombes Argo Yuwono di Mapolda Metro Jaya, Jalan Jenderal Sudirman, Jakarta, Jumat (21/12/2018). Per hari ini, Satgas langsung menyelidiki dugaan pengaturan skor pertandingan sepakbola Liga Indonesia pada musim 2013-2017. Polisi melakukan penyelidikan untuk mendapatkan bukti-bukti baru kasus pengaturan skor. ""Kasus-kasus lama nanti untuk digali kembali. Alat bukti yang pada masa penyidikan awal itu, penyidik menilai belum cukup, maka akan didalami kembali, dianalisis kembali, di-assessment kembali bukti-bukti apa yang dibutuhkan untuk mengungkap satu peristiwa yang diduga adalah peristiwa pidana tersebut,"" kata Karo Penmas Polri Brigjen Dedi Prasetyo di Mabes Polri, Jl Trunojoyo, Kebayoran Baru, Jaksel, Jumat (21/12/2018). Penyelidikan dilakukan karena ada kasus lama yang satu alat buktinya dianggap kurang oleh penyidik. Diharapkan, jika satu kasus itu terungkap, bisa jadi pintu masuk untuk mengungkap kasus-kasus lainnya. Dia mengatakan penyelidikan ini didasari laporan dugaan terjadinya pengaturan skor sebuah pertandingan dari pihak ketiga. Pada hari ini, Polri memanggil lima saksi, di antaranya Sekjen PSSI Ratu Tisha Destria, Dirut PT Liga Indonesia Baru Berlington Siahaan, Manajer Madura FC Januar Hermanto, Sekjen BOPI Andreas Marbun, dan Ketua BOPI Richard Sambera. Selanjutnya, tanggal 26-28 Desember nanti, Polri akan memeriksa tujuh orang saksi yang berasal dari Kemenpora, wasit, Ketua Komisi Disiplin, hingga Exco PSSI. Satgas ini juga akan beroperasi mengawasi pengaturan skor di Liga Indonesia musim depan. ""Kemudian untuk Satgas, nanti akan bekerja di pertandingan atau setelah digulirkan liga di 2019-2020. Sama, dalam rangka mengantisipasi perbuatan curang terhadap pengaturan skor, mafia, maupun juga menangkap apabila dalam sebuah pertandingan, baik Liga 1, Liga 2, Liga 3, ada kecurangan terhadap pengaturan skor, itu akan ditindak secara hukum,"" ungkap Dedi. Satgas Antimafia Bola membuka hotline terkait pengusutan dugaan pengaturan skor persepakbolaan di Indonesia. Masyarakat yang mempunyai informasi mengenai hal tersebut dapat melapor ke nomor 081387003310 lewat telepon dan WhatsApp. Siapa pemain lama pengatur skor yang tengah masuk radar Satgas Antimafia Bola?",0,manusia,6,469,manusia
7,Kompas,"Kerusakan Baling-baling, Kapal Berpenumpang 14 Orang di NTT Hilang Kontak",https://regional.kompas.com/read/2019/06/01/21573791/kerusakan-baling-baling-kapal-berpenumpang-14-orang-di-ntt-hilang-kontak,"June 1, 2019",2019,"Sebuah kapal fiber dengan nama lambung kapal KM Inkamina 689, mengalami kerusakan baling-baling di Laut Sawu, Nusa Tenggara Timur (NTT). Kepala Kantor Pencarian dan Pertolongan (SAR) Kupang, Emi Frizer mengatakan, kapal itu memuat 14 orang, dengan tujuan Larantuka, Kabupaten Flores Timur, menuju Maumere, Kabupaten Sikka. ""Kami mendapat laporan pagi tadi dari warga yang bernama Jhon Siri, bahwa ada kapal yang mengalami kerusakan baling-baling dan hilang kontak,"" ungkap Emi, kepada sejumlah wartawan, di Kupang, Sabtu (1/6/2019). kapal yang mempunyai ciri berwarna putih dengan dasar biru itu hilang kontak di Laut Sawu. Setelah menerima laporan, pihaknya lalu melakukan pencarian terhadap kapal Inkamina 689, dengan mengerahkan KN SAR Antareja 233 menuju Laut Sawu. KN SAR Antareja 233 yang diawaki oleh 18 personel, lalu berangkat menuju lokasi kejadian dan melakukan pencarian di sekitar lokasi kejadian sesuai dengan aplikasi SAR Map Prediction dari Kantor Pusat Badan Nasional Pencarian dan Pertolongan. Hingga pukul 16.40 Wita, KN SAR Antareja 233 dapat menemukan KM Inkamina 698, pada koordinat 09° 58' 288"" S-121° 58' 533"" E. ""Pada saat ditemukan, seluruh kru kapal dalam keadaan selamat,"" ucap dia. Kemudian pukul 18.00 Wita, KM Inkamina 698 ditandem oleh KN SAR Antareja 233 Kupang dan lego jangkar di Perairan Pantai Paga, Kabupaten Sikka, untuk menunggu kapal bantuan dari Larantuka guna melakukan perbaikan.",0,manusia,7,210,manusia
8,Kompas,"Setelah Upacara Militer di Lanud Halim, Jenazah Ani Yudhoyono Dibawa ke Cikeas",https://nasional.kompas.com/read/2019/06/01/22351121/setelah-upacara-militer-di-lanud-halim-jenazah-ani-yudhoyono-dibawa-ke,"June 1, 2019",2019,"Jenazah Ibu Ani Yudhoyono, istri Presiden kelima RI Susilo Bambang Yudhoyono dibawa menuju rumah duka di Puri Cikeas, Bogor, Sabtu (1/6/2019) malam, untuk disemayamkan. Pesawat Hercules C-130 yang membawa jenazah dan keluarga SBY mendarat di Lanud Halim Perdanakusuma, Jakarta Timur, pukul 22.03 WIB, setelah diterbangkan dari Pangkalan AU Singapura. Sebelum dibawa ke rumah duka, dilakukan upacara militer penerimaan jenazah di landasan Lanud. Upacara dimulai setelah pesawat mendarat. Sesampainya di apron, anggota keluarga SBY keluar terlebih dahulu dari pesawat. Kemudian peti jenazah Ibu Ani ditutupi bendera Merah Putih dan rangkaian bunga lalu diusung oleh pasukan TNI melalui pintu belakang pesawat pukul 22.23 WIB. Selanjutnya, peti jenazah dibawa ke ambulans dengan melintasi barisan pasukan yang memberikan penghormatan kepada mendiang Ibu Ani. Mobil ambulans bergerak meninggalkan Lanud pukul 22.30 WIB. Sejumlah pejabat dan tokoh nasional hadir di Lanud TNI AU diantaranya Menko Kemaritiman Luhut Binsar Panjaitan, Menteri Dalam Negeri Tjahjo Kumolo, Menteri Sosial Agus Gumiwang, Mensesneg Pratikno, ustadz Yusuf Mansyur, Akbar Tandjung. Ibu Ani tutup usia setelah berjuang melawan kanker darah di National University Hospital (NUH), Singapura, Sabtu pukul 11.50 waktu setempat. Ibu Ani dirawat di rumah sakit tersebut sejak 2 Februari 2019. Jenazah Ani Yudhoyono sempat disemayamkan di Kedutaan Besar RI di Singapura, sebelum diterbangkan kembali ke Tanah Air. Rencananya, almarhumah Ani Yudhoyono akan dimakamkan di Taman Makam Pahlawan, Jakarta, pada Minggu sore",0,manusia,8,221,manusia
9,Kompas,Dimas Ekky Start ke-29 Moto2 Mugello 2019,https://otomotif.kompas.com/read/2019/06/01/230038315/dimas-ekky-start-ke-29-moto2-mugello-2019,"June 1, 2019",2019,"Dimas Ekky Pratama akan start dari posisi ke-29 di Moto2 Mugello 2019. Pebalap Idemitsu Honda Team Asia tersebut mencatat waktu tercepat 1 menit 54.478 detik saat kualifikasi. Kendati memulai balapan dari grid belakang, catatan waktu pebalap asal Depok, Jawa Barat, itu sebetulnya terbilang konstan sejak sesi latihan bebas pertama FP1 sampai saat kualifikasi Q1, Sabtu (1/6/2019). ke-18 di GP Mugello Di FP1 Dimas berada di posisi ke-31 dengan waktu 1 menit 57.967 detik. FP2 urutan ke-30 dengan 1 menit 55.549 detik, dan di FP3 tetap di urutan ke-30 dengan waktu terbaik, 1 menit 55.552 detik. Di sisi lain, pebalap asal Jerman, Marcel Schrötter akan start dari posisi pertama setelah mencatat waktu tercepat 1 menit 51.129 detik. Disusul tempat kedua yaitu Thomas Luthi yang hanya berjarak waktu 0,040 dari Schrotter. sedang digadang-gadang bakal naik kelas MotoGP dan sedang mendekati Pramac Ducati untuk tahun depan berada di posisi ketiga. Adik juara dunia Marc Marquez itu mencatat 1 menit 51.346 detik. Hasil kualifikasi MotoGP Mugello 2019: 1. Marcel Schrotter GER Dynavolt Intact GP (Kalex) 1m 51.129s 2. Thomas Luthi SWI Dynavolt Intact GP (Kalex) 1m 51.169s 3. Alex Marquez SPA EG 0,0 Marc VDS (Kalex) 1m 51.346s 4. Nicolo Bulega ITA SKY Racing Team VR46 (Kalex) 1m 51.401s 5. Jorge Navarro SPA MB Conveyors Speed Up (Speed Up) 1m 51.470s 6. Luca Marini ITA SKY Racing Team VR46 (Kalex) 1m 51.484s 7. Tetsuta Nagashima JPN ONEXOX TKKR SAG Team (Kalex) 1m 51.640s 8. Sam Lowes GBR Federal Oil Gresini Moto2 (Kalex) 1m 51.692s 9. Augusto Fernandez SPA FLEXBOX HP 40 (Kalex) 1m 51.697s 10. Remy Gardner AUS ONEXOX TKKR SAG Team (Kalex) 1m 51.724s 11. Enea Bastianini ITA Italtrans Racing Team (Kalex) 1m 51.728s 12. Jorge Martin SPA Red Bull KTM Ajo (KTM) 1m 51.776s 13. Simone Corsi ITA Tasca Racing Scuderia Moto2 (Kalex) 1m 51.798s 14. Fabio Di Giannantonio ITA MB Conveyors Speed Up (Speed Up) 1m 51.920s 15. Lorenzo Baldassarri ITA FLEXBOX HP 40 (Kalex) 1m 51.976s... 29. Dimas Ekky Pratama INA IDEMITSU Honda Team Asia (Kalex) 1m 54.478s",0,manusia,9,338,manusia
10,Detik,PT KAI Tambah Dua Perjalanan KA Ciremai 2 Bandung-Semarang,https://news.detik.com/berita-jawa-barat/d-4573827/pt-kai-tambah-dua-perjalanan-ka-ciremai-2-bandung-semarang,"June 1, 2019",2019,"Peluncuran ini ditandai dengan perjalanan KA Ceremai dari Stasiun Bandung menuju Semarang Tawang, Sabtu (1/6/2019) sore. Penambahan perjalanan ini untuk KA 12988 (Bandung - Semarang Tawang) dan KA 12899 (Semarang Tawang - Bandung). EVP Daop 2 Bandung Saridal mengatakan dengan adanya penambahan ini, total ada empat perajalanan KA Ciremai. Empat KA tersebut nantinya akan melayani perjalanan pada pagi dan sore setiap harinya. Ia menuturkan setiap rangkaian KA Ciremai 2 akan membawa 4 kereta eksekutif dan 4 kereta bisnis. Total 456 kursi yang tesedia dari KA Ceremai 2 tersebut. ""Bandung-Semarang Tawang ini menjadi salah satu favorit mudik. Jadi memang banyak peminatnya, kemarin saja okupansinya hampir 100 persen,"" ungkap dia. Tiket KA Ciremai 2 sudah bisa dipesan sejak 24 Mei di aplikasi KAI Access, website KAI, dan seluruh channel penjualan KAI. Tarif KA Ciremai 2 sama seperti KA Ciremai eksisting dengan Tarif Batas Bawah (TBB) dan Tarif Batas Atas (TBA) yang telah ditetapkan. Saridal berharap penambahan jadwal KA Ciremai ini mempermudah masyarakat yang ingin melakukan perjalanan dengan menggunakan kereta api. Pihaknya ingin mengakomodir masyarakat pengguna KA. ""Dengan adanya KA Ciremai 2 ini, semoga lebih banyak masyarakat yang dapat terlayani oleh KAI, dan dapat mudik menggunakan kereta api,"" ungkap dia. ""Kita juga berharap ini KA Ceremai 2 ini terus berlanjut tidak hanya saat mudik saja,"" ujar Saridal.",0,manusia,10,214,manusia
