kombinasi_label,model,akurasi_manusia,akurasi_AI,f1_macro
IndoBERT,CatBoost,0.9587,0.965,0.9618
IndoBERT,Random Forest,0.9288,0.949,0.9389
IndoBERT,XGBoost,0.9587,0.9647,0.9617
IndoBERT + Perplexity,CatBoost,0.9762,0.9743,0.9753
IndoBERT + Perplexity,Random Forest,0.9648,0.953,0.9589
IndoBERT + Perplexity,XGBoost,0.9772,0.9767,0.9769
Perplexity,CatBoost,0.8748,0.9163,0.8955
Perplexity,Random Forest,0.8677,0.9053,0.8866
Perplexity,XGBoost,0.8717,0.9143,0.893
Stylometry,CatBoost,0.9356,0.9363,0.9359
Stylometry,Random Forest,0.9359,0.9357,0.9358
Stylometry,XGBoost,0.9375,0.934,0.9358
Stylometry + IndoBERT,CatBoost,0.9677,0.9707,0.9692
Stylometry + IndoBERT,Random Forest,0.9476,0.9423,0.945
Stylometry + IndoBERT,XGBoost,0.9688,0.965,0.9669
Stylometry + IndoBERT + Perplexity,CatBoost,0.9852,0.9807,0.9829
Stylometry + IndoBERT + Perplexity,Random Forest,0.9822,0.96,0.9711
Stylometry + IndoBERT + Perplexity,XGBoost,0.9835,0.978,0.9808
Stylometry + Perplexity,CatBoost,0.9765,0.9707,0.9736
Stylometry + Perplexity,Random Forest,0.9812,0.9643,0.9728
Stylometry + Perplexity,XGBoost,0.9751,0.9687,0.9719
Stylometry + TF-IDF,CatBoost,0.952,0.961,0.9565
Stylometry + TF-IDF,Random Forest,0.9456,0.9397,0.9426
Stylometry + TF-IDF,XGBoost,0.9601,0.9607,0.9603
Stylometry + TF-IDF + IndoBERT,CatBoost,0.9708,0.9714,0.9711
Stylometry + TF-IDF + IndoBERT,Random Forest,0.9554,0.9487,0.952
Stylometry + TF-IDF + IndoBERT,XGBoost,0.9738,0.9693,0.9716
Stylometry + TF-IDF + IndoBERT + Perplexity,CatBoost,0.9866,0.981,0.9838
Stylometry + TF-IDF + IndoBERT + Perplexity,Random Forest,0.9819,0.9626,0.9722
Stylometry + TF-IDF + IndoBERT + Perplexity,XGBoost,0.9873,0.9783,0.9828
Stylometry + TF-IDF + Perplexity,CatBoost,0.9842,0.9786,0.9814
Stylometry + TF-IDF + Perplexity,Random Forest,0.9792,0.9613,0.9702
Stylometry + TF-IDF + Perplexity,XGBoost,0.9852,0.9753,0.9803
TF-IDF,CatBoost,0.9281,0.9127,0.9204
TF-IDF,Random Forest,0.8915,0.889,0.8903
TF-IDF,XGBoost,0.9322,0.9177,0.9249
TF-IDF + IndoBERT,CatBoost,0.9631,0.9707,0.9669
TF-IDF + IndoBERT,Random Forest,0.9358,0.952,0.944
TF-IDF + IndoBERT,XGBoost,0.9617,0.9684,0.965
TF-IDF + IndoBERT + Perplexity,CatBoost,0.9775,0.9797,0.9786
TF-IDF + IndoBERT + Perplexity,Random Forest,0.9738,0.9693,0.9716
TF-IDF + IndoBERT + Perplexity,XGBoost,0.9766,0.9776,0.9771
TF-IDF + Perplexity,CatBoost,0.9573,0.962,0.9597
TF-IDF + Perplexity,Random Forest,0.9544,0.955,0.9547
TF-IDF + Perplexity,XGBoost,0.9587,0.9643,0.9615
