row_index,doc_id,source_id,label_aktual,kombinasi,n_fitur,prediksi,probabilitas_AI,benar
0,0,0,0,perp,1,0,0.03090221385082973,True
1,1,0,1,perp,1,1,0.9469738302964728,True
2,2,1,0,perp,1,0,0.04757541789960917,True
3,3,1,1,perp,1,1,0.9486835850510142,True
4,4,2,0,perp,1,0,0.15141262589737625,True
5,5,2,1,perp,1,1,0.6589797211618211,True
6,6,3,0,perp,1,0,0.016151030361504153,True
7,7,3,1,perp,1,1,0.9419784163511438,True
8,8,4,0,perp,1,0,0.03680791442325844,True
9,9,4,1,perp,1,1,0.9463507446804245,True
10,10,5,0,perp,1,0,0.04759255273055833,True
11,11,5,1,perp,1,1,0.9845059811124576,True
12,12,6,0,perp,1,0,0.050380495136777295,True
13,13,6,1,perp,1,1,0.9335911019632025,True
14,14,7,0,perp,1,0,0.055255863782453826,True
15,15,7,1,perp,1,1,0.9515319519199466,True
16,16,8,0,perp,1,0,0.0002497672901256525,True
17,17,8,1,perp,1,1,0.937484629379658,True
18,18,9,0,perp,1,0,0.39495029726598,True
19,19,9,1,perp,1,1,0.9408908034274776,True
20,20,10,0,perp,1,0,0.0007725559816564505,True
21,21,10,1,perp,1,1,0.5785247273496541,True
22,22,11,0,perp,1,0,0.00046419685279238315,True
23,23,11,1,perp,1,1,0.9598434890791436,True
24,24,12,0,perp,1,0,0.0006041345460457564,True
25,25,12,1,perp,1,1,0.662464067343327,True
26,26,13,0,perp,1,0,0.0017614737165488159,True
27,27,13,1,perp,1,1,0.8663001114862843,True
28,28,14,0,perp,1,0,0.0011351586973434935,True
29,29,14,1,perp,1,1,0.9411063028637889,True
30,30,15,0,perp,1,0,0.001738656819349564,True
31,31,15,1,perp,1,1,0.7035014045791953,True
32,32,16,0,perp,1,0,0.04590212746888208,True
33,33,16,1,perp,1,1,0.9509878766492444,True
34,34,17,0,perp,1,0,0.0016096284749222086,True
35,35,17,1,perp,1,1,0.970199838030947,True
36,36,18,0,perp,1,0,0.05007186072239227,True
37,37,18,1,perp,1,1,0.9490071106255529,True
38,38,19,0,perp,1,0,0.0006019908606291012,True
39,39,19,1,perp,1,0,0.4207330610266383,False
40,40,20,0,perp,1,0,0.001579044429263972,True
41,41,20,1,perp,1,1,0.9507118917577341,True
42,42,21,0,perp,1,0,0.16833405285729913,True
43,43,21,1,perp,1,1,0.814182843871131,True
44,44,22,0,perp,1,0,0.04475498095970533,True
45,45,22,1,perp,1,1,0.9485526549007729,True
46,46,23,0,perp,1,0,0.00036232590210791965,True
47,47,23,1,perp,1,1,0.9300490837680866,True
48,48,24,0,perp,1,0,0.055031178427897065,True
49,49,24,1,perp,1,1,0.9419509691519651,True
50,50,25,0,perp,1,0,0.001024482669708338,True
51,51,25,1,perp,1,1,0.865136100257148,True
52,52,26,0,perp,1,0,0.03963242370549657,True
53,53,26,1,perp,1,1,0.6286031666297899,True
54,54,27,0,perp,1,0,0.002034104013329485,True
55,55,27,1,perp,1,1,0.7336462036628113,True
56,56,28,0,perp,1,1,0.951704609249685,False
57,57,28,1,perp,1,1,0.9050336862060269,True
58,58,29,0,perp,1,0,0.04950502402427379,True
59,59,29,1,perp,1,1,0.97636389447446,True
60,60,30,0,perp,1,0,0.015092984670906785,True
61,61,30,1,perp,1,1,0.950446906507292,True
62,62,31,0,perp,1,0,0.00046419685279238315,True
63,63,31,1,perp,1,0,0.33014254498818596,False
64,64,32,0,perp,1,0,0.055255863782453826,True
65,65,32,1,perp,1,0,0.0423691834739942,False
66,66,33,0,perp,1,0,0.0007712364002074664,True
67,67,33,1,perp,1,1,0.9254590707424427,True
68,68,34,0,perp,1,0,0.17055077551894987,True
69,69,34,1,perp,1,1,0.9723514097924709,True
70,70,35,0,perp,1,1,0.8997210167387213,False
71,71,35,1,perp,1,1,0.957258488057833,True
72,72,36,0,perp,1,0,0.0009432079671853442,True
73,73,36,1,perp,1,1,0.984206235750852,True
74,74,37,0,perp,1,0,0.005029819557147449,True
75,75,37,1,perp,1,1,0.98132721215366,True
76,76,38,0,perp,1,0,0.15410690495995188,True
77,77,38,1,perp,1,1,0.9820804074433291,True
78,78,39,0,perp,1,0,0.03283630933962047,True
79,79,39,1,perp,1,1,0.9591818251783223,True
80,80,40,0,perp,1,1,0.6396083200184924,False
81,81,40,1,perp,1,1,0.9601990642604108,True
82,82,41,0,perp,1,0,0.08104220772522298,True
83,83,41,1,perp,1,1,0.953412527879328,True
84,84,42,0,perp,1,0,0.04475498095970533,True
85,85,42,1,perp,1,1,0.966267540003407,True
86,86,43,0,perp,1,0,0.0004845444068836889,True
87,87,43,1,perp,1,1,0.5411952082994222,True
88,88,44,0,perp,1,0,0.23182086707737815,True
89,89,44,1,perp,1,0,0.4169380119918805,False
90,90,45,0,perp,1,0,0.054491177522024405,True
91,91,45,1,perp,1,1,0.5938137867814278,True
92,92,46,0,perp,1,0,0.02476073345819933,True
93,93,46,1,perp,1,1,0.9532477388830036,True
94,94,47,0,perp,1,0,0.050642857903018396,True
95,95,47,1,perp,1,1,0.9598719465096848,True
96,96,48,0,perp,1,0,0.39325536637811453,True
97,97,48,1,perp,1,1,0.9381555865275191,True
98,98,49,0,perp,1,0,0.42060005654362304,True
99,99,49,1,perp,1,1,0.9420047926460935,True
100,100,50,0,perp,1,0,0.015595258737969245,True
101,101,50,1,perp,1,1,0.944533193044575,True
102,102,51,0,perp,1,0,0.002839646667056782,True
103,103,51,1,perp,1,1,0.9676859009788124,True
104,104,52,0,perp,1,0,0.002455535753828623,True
105,105,52,1,perp,1,1,0.9224127056573723,True
106,106,53,0,perp,1,0,0.17015749795683363,True
107,107,53,1,perp,1,1,0.9684527607410683,True
108,108,54,0,perp,1,0,0.45497329173813844,True
109,109,54,1,perp,1,1,0.5893097734244954,True
110,110,55,0,perp,1,1,0.9507118917577341,False
111,111,55,1,perp,1,1,0.8828583128422396,True
112,112,56,0,perp,1,0,0.03953059920280419,True
113,113,56,1,perp,1,1,0.9598434890791436,True
114,114,57,0,perp,1,0,0.0006969538766989248,True
115,115,57,1,perp,1,1,0.961502555417534,True
116,116,58,0,perp,1,0,0.143444818460284,True
117,117,58,1,perp,1,1,0.9381555865275191,True
118,118,59,0,perp,1,0,0.0015428894869174517,True
119,119,59,1,perp,1,1,0.9719229908865236,True
120,120,60,0,perp,1,0,0.007599147237679299,True
121,121,60,1,perp,1,1,0.8857280721489412,True
122,122,61,0,perp,1,0,0.0031344925563709723,True
123,123,61,1,perp,1,1,0.9448492552097438,True
124,124,62,0,perp,1,0,0.18180322862962042,True
125,125,62,1,perp,1,1,0.839914758882512,True
126,126,63,0,perp,1,0,0.007463695908831363,True
127,127,63,1,perp,1,0,0.39325536637811453,False
128,128,64,0,perp,1,0,0.020729590703225383,True
129,129,64,1,perp,1,0,0.2743871984672488,False
130,130,65,0,perp,1,0,0.4842269324476009,True
131,131,65,1,perp,1,1,0.8801006815760227,True
132,132,66,0,perp,1,0,0.048972300329374545,True
133,133,66,1,perp,1,1,0.6286031666297899,True
134,134,67,0,perp,1,0,0.02846489669883661,True
135,135,67,1,perp,1,1,0.9414955191037192,True
136,136,68,0,perp,1,1,0.7125393337274141,False
137,137,68,1,perp,1,1,0.8219274267631499,True
138,138,69,0,perp,1,0,0.42060005654362304,True
139,139,69,1,perp,1,1,0.9328803668014706,True
140,140,70,0,perp,1,0,0.20762653265022263,True
141,141,70,1,perp,1,1,0.9095211639234322,True
142,142,71,0,perp,1,0,0.0007301498416479414,True
143,143,71,1,perp,1,1,0.9147248384886335,True
144,144,72,0,perp,1,1,0.6027665837058096,False
145,145,72,1,perp,1,1,0.8675522526478924,True
146,146,73,1,perp,1,1,0.9095211639234322,True
147,147,74,0,perp,1,0,0.00024346786792202272,True
148,148,74,1,perp,1,1,0.9472005531997519,True
149,149,75,0,perp,1,0,0.15626163435444326,True
150,150,75,1,perp,1,1,0.8143081530550602,True
151,151,76,0,perp,1,0,0.054491177522024405,True
152,152,76,1,perp,1,1,0.8997210167387213,True
153,153,77,0,perp,1,0,0.3732541820138228,True
154,154,77,1,perp,1,1,0.9147248384886335,True
155,155,78,0,perp,1,1,0.5241116238287347,False
156,156,78,1,perp,1,0,0.12042764824679753,False
157,157,79,0,perp,1,0,0.17383088946718991,True
158,158,79,1,perp,1,0,0.17244563183394596,False
159,159,80,0,perp,1,0,0.02908839713599824,True
160,160,80,1,perp,1,1,0.789582293713405,True
161,161,81,0,perp,1,0,0.00413436664022431,True
162,162,81,1,perp,1,1,0.9845915349514828,True
163,163,82,0,perp,1,0,0.0457324552656447,True
164,164,82,1,perp,1,1,0.9868279582702173,True
165,165,83,0,perp,1,0,0.0005225667956756952,True
166,166,83,1,perp,1,0,0.41677433053144436,False
167,167,84,0,perp,1,0,0.00023164208830702855,True
168,168,84,1,perp,1,1,0.9728821400202687,True
169,169,85,0,perp,1,0,0.006922454245236153,True
170,170,85,1,perp,1,1,0.5560717928556875,True
171,171,86,0,perp,1,1,0.6396083200184924,False
172,172,86,1,perp,1,1,0.9601990642604108,True
173,173,87,0,perp,1,0,0.06761232379603176,True
174,174,87,1,perp,1,1,0.947758432853038,True
175,175,88,0,perp,1,0,0.0018770313438676361,True
176,176,88,1,perp,1,0,0.2240471918651698,False
177,177,89,0,perp,1,0,0.10583993413453043,True
178,178,89,1,perp,1,1,0.8484307345629252,True
179,179,90,0,perp,1,0,0.06866433208885309,True
180,180,90,1,perp,1,0,0.31614288271622026,False
181,181,91,0,perp,1,1,0.8467531617950985,False
182,182,91,1,perp,1,1,0.9468639969519248,True
183,183,92,0,perp,1,0,0.20009309276099035,True
184,184,92,1,perp,1,1,0.9336861570675692,True
185,185,93,0,perp,1,0,0.012251787394218972,True
186,186,93,1,perp,1,1,0.9374973460238528,True
187,187,94,0,perp,1,0,0.4655298702635113,True
188,188,94,1,perp,1,1,0.8484307345629252,True
189,189,95,0,perp,1,0,0.0009183370795143157,True
190,190,95,1,perp,1,1,0.7383021848984646,True
191,191,96,0,perp,1,0,0.0005068953389509407,True
192,192,96,1,perp,1,1,0.9602132423391853,True
193,193,97,0,perp,1,1,0.9083632242897581,False
194,194,97,1,perp,1,1,0.935525325891481,True
195,195,98,0,perp,1,0,0.002034104013329485,True
196,196,98,1,perp,1,1,0.8947415997559964,True
197,197,99,0,perp,1,0,0.0008178861412046168,True
198,198,99,1,perp,1,1,0.8185474760179099,True
199,199,100,0,perp,1,0,0.0005747632400250645,True
200,200,100,1,perp,1,1,0.8265946501521501,True
201,201,101,0,perp,1,0,0.04150899122958244,True
202,202,101,1,perp,1,1,0.8740247970716998,True
203,203,102,0,perp,1,0,0.18188201891808084,True
204,204,102,1,perp,1,1,0.8882421767717016,True
205,205,103,0,perp,1,0,0.03604701952611072,True
206,206,103,1,perp,1,1,0.9025723634713124,True
207,207,104,0,perp,1,0,0.05275294238156885,True
208,208,104,1,perp,1,1,0.9781465416497869,True
209,209,105,0,perp,1,0,0.0011351586973434935,True
210,210,105,1,perp,1,1,0.9423230004515856,True
211,211,106,0,perp,1,0,0.034503141431137196,True
212,212,106,1,perp,1,1,0.773995768090094,True
213,213,107,0,perp,1,0,0.0008587152554324796,True
214,214,107,1,perp,1,1,0.6816612854942414,True
215,215,108,0,perp,1,0,0.0004458327122305815,True
216,216,108,1,perp,1,1,0.9043094628896446,True
217,217,109,0,perp,1,0,0.0002336200444190071,True
218,218,109,1,perp,1,0,0.0009668501510957811,False
219,219,110,0,perp,1,0,0.01500403853635217,True
220,220,110,1,perp,1,1,0.9423230004515856,True
221,221,111,0,perp,1,1,0.6262020711880305,False
222,222,111,1,perp,1,1,0.9460254038492548,True
223,223,112,0,perp,1,0,0.010036078314369395,True
224,224,112,1,perp,1,1,0.9739700755760664,True
225,225,113,0,perp,1,0,0.0006969538766989248,True
226,226,113,1,perp,1,1,0.6867149383186164,True
227,227,114,0,perp,1,0,0.0005693212251888392,True
228,228,114,1,perp,1,1,0.862907256166175,True
229,229,115,0,perp,1,0,0.0024221044161540236,True
230,230,115,1,perp,1,1,0.843230739708198,True
231,231,116,0,perp,1,0,0.001986448384237993,True
232,232,116,1,perp,1,1,0.9453232393118769,True
233,233,117,0,perp,1,0,0.0013506408927776905,True
234,234,117,1,perp,1,1,0.9520773854273019,True
235,235,118,0,perp,1,1,0.6589797211618211,False
236,236,118,1,perp,1,1,0.8515684245016034,True
237,237,119,0,perp,1,0,0.00023051203684856027,True
238,238,119,1,perp,1,1,0.7884957240371226,True
239,239,120,0,perp,1,0,0.13899681686224072,True
240,240,120,1,perp,1,1,0.9769311237017609,True
241,241,121,0,perp,1,0,0.00046656137394204003,True
242,242,121,1,perp,1,1,0.9453232393118769,True
243,243,122,0,perp,1,1,0.7622435604658925,False
244,244,122,1,perp,1,1,0.935525325891481,True
245,245,123,0,perp,1,0,0.08346286756016981,True
246,246,123,1,perp,1,1,0.9647776815282705,True
247,247,124,0,perp,1,0,0.00046724752224280294,True
248,248,124,1,perp,1,1,0.9353839655922892,True
249,249,125,0,perp,1,1,0.8289835945055467,False
250,250,125,1,perp,1,1,0.8254097907469055,True
251,251,126,0,perp,1,0,0.0014151640866112076,True
252,252,126,1,perp,1,1,0.9493095750921268,True
253,253,127,0,perp,1,0,0.006116881632629758,True
254,254,127,1,perp,1,1,0.9821274828498652,True
255,255,128,0,perp,1,1,0.9414955191037192,False
256,256,128,1,perp,1,0,0.15820251822938694,False
257,257,129,0,perp,1,0,0.00535522660153177,True
258,258,129,1,perp,1,1,0.7741853097967253,True
259,259,130,0,perp,1,0,0.0015428894869174517,True
260,260,130,1,perp,1,1,0.9034099298505204,True
261,261,131,0,perp,1,0,0.0024968995477865686,True
262,262,131,1,perp,1,1,0.7202606650782287,True
263,263,132,0,perp,1,0,0.0006905378136998082,True
264,264,132,1,perp,1,1,0.6816612854942414,True
265,265,133,0,perp,1,0,0.012251787394218972,True
266,266,133,1,perp,1,1,0.9485526549007729,True
267,267,134,0,perp,1,0,0.10583993413453043,True
268,268,134,1,perp,1,0,0.1342912593414409,False
269,269,135,0,perp,1,1,0.7135330823038976,False
270,270,135,1,perp,1,1,0.8265946501521501,True
271,271,136,0,perp,1,0,0.000805024215243434,True
272,272,136,1,perp,1,1,0.9507104858018367,True
273,273,137,0,perp,1,0,0.0031344925563709723,True
274,274,137,1,perp,1,1,0.9147248384886335,True
275,275,138,0,perp,1,0,0.47786164393236186,True
276,276,138,1,perp,1,1,0.9515319519199466,True
277,277,139,0,perp,1,0,0.0717509096596556,True
278,278,139,1,perp,1,1,0.9820804074433291,True
279,279,140,0,perp,1,0,0.014695179668846656,True
280,280,140,1,perp,1,1,0.8289835945055467,True
281,281,141,0,perp,1,0,0.015595258737969245,True
282,282,141,1,perp,1,1,0.9112147696296989,True
283,283,142,0,perp,1,0,0.06208085026635859,True
284,284,142,1,perp,1,1,0.9543349026977301,True
285,285,143,0,perp,1,0,0.017758229962789782,True
286,286,143,1,perp,1,1,0.961502555417534,True
287,287,144,0,perp,1,0,0.00046724752224280294,True
288,288,144,1,perp,1,1,0.9670569915421758,True
289,289,145,0,perp,1,1,0.7693928784094842,False
290,290,145,1,perp,1,1,0.7503805480875161,True
291,291,146,0,perp,1,1,0.6262020711880305,False
292,292,146,1,perp,1,1,0.958483786023577,True
293,293,147,0,perp,1,1,0.9336861570675692,False
294,294,147,1,perp,1,1,0.9043072647934774,True
