row_index,doc_id,source_id,label_aktual,kombinasi,n_fitur,prediksi,probabilitas_AI,benar
0,0,0,0,sty+bert,2,1,0.578313703169762,False
1,1,0,1,sty+bert,2,1,0.9951567889269683,True
2,2,1,0,sty+bert,2,0,0.008409345448720504,True
3,3,1,1,sty+bert,2,1,0.9931593518851901,True
4,4,2,0,sty+bert,2,0,0.017417623126118317,True
5,5,2,1,sty+bert,2,1,0.9992618686328343,True
6,6,3,0,sty+bert,2,0,0.011560735174401279,True
7,7,3,1,sty+bert,2,1,0.9982844199310171,True
8,8,4,0,sty+bert,2,0,0.0026193755135498504,True
9,9,4,1,sty+bert,2,1,0.9983681852447702,True
10,10,5,0,sty+bert,2,0,0.013009910106364167,True
11,11,5,1,sty+bert,2,1,0.9911043427402828,True
12,12,6,0,sty+bert,2,0,0.00346226421419137,True
13,13,6,1,sty+bert,2,1,0.9938210918717799,True
14,14,7,0,sty+bert,2,0,0.009700819197938753,True
15,15,7,1,sty+bert,2,1,0.9972934481610468,True
16,16,8,0,sty+bert,2,0,0.002513137608927658,True
17,17,8,1,sty+bert,2,1,0.9978930541523096,True
18,18,9,0,sty+bert,2,0,0.10248529436733779,True
19,19,9,1,sty+bert,2,1,0.9892475525310801,True
20,20,10,0,sty+bert,2,0,0.35969405075469896,True
21,21,10,1,sty+bert,2,1,0.9911984660270752,True
22,22,11,0,sty+bert,2,0,0.025793421549024014,True
23,23,11,1,sty+bert,2,1,0.989320084515295,True
24,24,12,0,sty+bert,2,0,0.015479223403245014,True
25,25,12,1,sty+bert,2,1,0.9949714687777698,True
26,26,13,0,sty+bert,2,0,0.011907907216046901,True
27,27,13,1,sty+bert,2,1,0.9916767861628099,True
28,28,14,0,sty+bert,2,0,0.003642250100571485,True
29,29,14,1,sty+bert,2,1,0.9982156438027471,True
30,30,15,0,sty+bert,2,0,0.03404974672412974,True
31,31,15,1,sty+bert,2,1,0.9997167577596,True
32,32,16,0,sty+bert,2,0,0.021405934719192443,True
33,33,16,1,sty+bert,2,1,0.9638798048435713,True
34,34,17,0,sty+bert,2,0,0.00877228053834814,True
35,35,17,1,sty+bert,2,1,0.9997420189575337,True
36,36,18,0,sty+bert,2,0,0.09315030553185301,True
37,37,18,1,sty+bert,2,1,0.9988848158880732,True
38,38,19,0,sty+bert,2,0,0.3789883251077598,True
39,39,19,1,sty+bert,2,1,0.99870534394065,True
40,40,20,0,sty+bert,2,0,0.0008728609201783903,True
41,41,20,1,sty+bert,2,1,0.9835392207958604,True
42,42,21,0,sty+bert,2,0,0.01053041705760991,True
43,43,21,1,sty+bert,2,0,0.44596425839728376,False
44,44,22,0,sty+bert,2,0,0.48169618828073923,True
45,45,22,1,sty+bert,2,1,0.9908553958412585,True
46,46,23,0,sty+bert,2,0,0.00014830742062225082,True
47,47,23,1,sty+bert,2,1,0.99684836857644,True
48,48,24,0,sty+bert,2,0,0.17316000987275465,True
49,49,24,1,sty+bert,2,1,0.6524896573078848,True
50,50,25,0,sty+bert,2,0,0.1408668671818408,True
51,51,25,1,sty+bert,2,1,0.9989920183906862,True
52,52,26,0,sty+bert,2,0,0.273199152548808,True
53,53,26,1,sty+bert,2,1,0.9982536917238306,True
54,54,27,0,sty+bert,2,0,0.001088708967384314,True
55,55,27,1,sty+bert,2,1,0.9957146834902907,True
56,56,28,0,sty+bert,2,0,0.44674894037964424,True
57,57,28,1,sty+bert,2,1,0.999702770913151,True
58,58,29,0,sty+bert,2,0,0.035339873218358436,True
59,59,29,1,sty+bert,2,1,0.9977789751518725,True
60,60,30,0,sty+bert,2,0,0.0006274844975383822,True
61,61,30,1,sty+bert,2,1,0.9963779592137919,True
62,62,31,0,sty+bert,2,0,0.0009853061640788716,True
63,63,31,1,sty+bert,2,1,0.9892812163439683,True
64,64,32,0,sty+bert,2,0,0.023664273108069372,True
65,65,32,1,sty+bert,2,0,0.008688402468241561,False
66,66,33,0,sty+bert,2,0,0.0006161334891682772,True
67,67,33,1,sty+bert,2,1,0.9927419341366989,True
68,68,34,0,sty+bert,2,0,0.024739176180987914,True
69,69,34,1,sty+bert,2,1,0.9782614978376463,True
70,70,35,0,sty+bert,2,0,0.0042873249797370176,True
71,71,35,1,sty+bert,2,1,0.9969351580361415,True
72,72,36,0,sty+bert,2,0,0.0008205703446390619,True
73,73,36,1,sty+bert,2,1,0.9948953414851391,True
74,74,37,0,sty+bert,2,0,0.0008839754666995016,True
75,75,37,1,sty+bert,2,1,0.9934146660492071,True
76,76,38,0,sty+bert,2,0,0.015760630864060692,True
77,77,38,1,sty+bert,2,1,0.9996753776585225,True
78,78,39,0,sty+bert,2,0,0.006258729364342501,True
79,79,39,1,sty+bert,2,1,0.9994836273742154,True
80,80,40,0,sty+bert,2,0,0.00027141796827079393,True
81,81,40,1,sty+bert,2,1,0.7993058555289094,True
82,82,41,0,sty+bert,2,0,0.0027933228280342982,True
83,83,41,1,sty+bert,2,1,0.9524769251951907,True
84,84,42,0,sty+bert,2,0,0.06419816315023127,True
85,85,42,1,sty+bert,2,1,0.997914796436049,True
86,86,43,0,sty+bert,2,0,0.1330594800121132,True
87,87,43,1,sty+bert,2,1,0.9994780232156945,True
88,88,44,0,sty+bert,2,0,0.006854956002594456,True
89,89,44,1,sty+bert,2,1,0.9260850599520083,True
90,90,45,0,sty+bert,2,0,0.11243039436324814,True
91,91,45,1,sty+bert,2,1,0.8002602815653205,True
92,92,46,0,sty+bert,2,0,0.008631318342040596,True
93,93,46,1,sty+bert,2,1,0.999896100114966,True
94,94,47,0,sty+bert,2,0,0.08510446923659358,True
95,95,47,1,sty+bert,2,1,0.9751385334223311,True
96,96,48,0,sty+bert,2,0,0.0002560425945074772,True
97,97,48,1,sty+bert,2,0,0.23957137088059252,False
98,98,49,0,sty+bert,2,0,8.166998708488226e-05,True
99,99,49,1,sty+bert,2,1,0.9963065907387814,True
100,100,50,0,sty+bert,2,1,0.5332994931628592,False
101,101,50,1,sty+bert,2,1,0.9966337954449469,True
102,102,51,0,sty+bert,2,0,0.14558438993722556,True
103,103,51,1,sty+bert,2,1,0.9899208255459468,True
104,104,52,0,sty+bert,2,0,0.0005205346142223143,True
105,105,52,1,sty+bert,2,0,0.1305947354310243,False
106,106,53,0,sty+bert,2,0,0.0014390342561041995,True
107,107,53,1,sty+bert,2,1,0.9983306047698268,True
108,108,54,0,sty+bert,2,0,0.002154285864531857,True
109,109,54,1,sty+bert,2,0,0.2316910755646305,False
110,110,55,0,sty+bert,2,0,0.0004558818022294834,True
111,111,55,1,sty+bert,2,1,0.9996002920385922,True
112,112,56,0,sty+bert,2,0,0.0010478168579605336,True
113,113,56,1,sty+bert,2,1,0.9976392131328498,True
114,114,57,0,sty+bert,2,0,0.016061551404076325,True
115,115,57,1,sty+bert,2,1,0.9912344684709996,True
