row_index,doc_id,source_id,label_aktual,kombinasi,n_fitur,prediksi,probabilitas_AI,benar
0,0,0,0,sty+bert+perp,3,0,0.11172920504536994,True
1,1,0,1,sty+bert+perp,3,1,0.9996446820305016,True
2,2,1,0,sty+bert+perp,3,0,0.001454285529967775,True
3,3,1,1,sty+bert+perp,3,1,0.9989756434120014,True
4,4,2,0,sty+bert+perp,3,0,0.009552836306548457,True
5,5,2,1,sty+bert+perp,3,1,0.9968071234800447,True
6,6,3,0,sty+bert+perp,3,0,0.0016564799367744523,True
7,7,3,1,sty+bert+perp,3,1,0.999919920580501,True
8,8,4,0,sty+bert+perp,3,0,0.0006737423675786571,True
9,9,4,1,sty+bert+perp,3,1,0.9997117678538712,True
10,10,5,0,sty+bert+perp,3,0,0.001677398584537686,True
11,11,5,1,sty+bert+perp,3,1,0.9932506987008385,True
12,12,6,0,sty+bert+perp,3,0,0.0002740700567310242,True
13,13,6,1,sty+bert+perp,3,1,0.9994180409308069,True
14,14,7,0,sty+bert+perp,3,0,0.0006587170176407387,True
15,15,7,1,sty+bert+perp,3,1,0.9990047390118341,True
16,16,8,0,sty+bert+perp,3,0,0.0009426354612378281,True
17,17,8,1,sty+bert+perp,3,1,0.9999177154400238,True
18,18,9,0,sty+bert+perp,3,0,0.46733220608512877,True
19,19,9,1,sty+bert+perp,3,1,0.9995522351931367,True
20,20,10,0,sty+bert+perp,3,0,0.05672512576378719,True
21,21,10,1,sty+bert+perp,3,1,0.9988263080628121,True
22,22,11,0,sty+bert+perp,3,0,0.004561529841444343,True
23,23,11,1,sty+bert+perp,3,1,0.9987780503654252,True
24,24,12,0,sty+bert+perp,3,0,0.005377262340808876,True
25,25,12,1,sty+bert+perp,3,1,0.9966941642291609,True
26,26,13,0,sty+bert+perp,3,0,0.002352794170904494,True
27,27,13,1,sty+bert+perp,3,1,0.9992594153643665,True
28,28,14,0,sty+bert+perp,3,0,0.0002806948676776976,True
29,29,14,1,sty+bert+perp,3,1,0.9997278892582393,True
30,30,15,0,sty+bert+perp,3,0,0.002783356544967231,True
31,31,15,1,sty+bert+perp,3,1,0.9998243783002229,True
32,32,16,0,sty+bert+perp,3,0,0.005932099942343405,True
33,33,16,1,sty+bert+perp,3,1,0.9964862135425699,True
34,34,17,0,sty+bert+perp,3,0,0.0026696574855462987,True
35,35,17,1,sty+bert+perp,3,1,0.9998356381170597,True
36,36,18,0,sty+bert+perp,3,0,0.004012004761226727,True
37,37,18,1,sty+bert+perp,3,1,0.9997839670518542,True
38,38,19,0,sty+bert+perp,3,0,0.034934877327896054,True
39,39,19,1,sty+bert+perp,3,1,0.9976124907059207,True
40,40,20,0,sty+bert+perp,3,0,0.0002474873235418737,True
41,41,20,1,sty+bert+perp,3,1,0.9964791574797809,True
42,42,21,0,sty+bert+perp,3,0,0.003255967825409928,True
43,43,21,1,sty+bert+perp,3,1,0.9673643057733295,True
44,44,22,0,sty+bert+perp,3,0,0.01074390538063991,True
45,45,22,1,sty+bert+perp,3,1,0.9992722287489942,True
46,46,23,0,sty+bert+perp,3,0,4.70565031384548e-05,True
47,47,23,1,sty+bert+perp,3,1,0.9995506294606974,True
48,48,24,0,sty+bert+perp,3,0,0.015471839427979356,True
49,49,24,1,sty+bert+perp,3,1,0.9632676579983053,True
50,50,25,0,sty+bert+perp,3,0,0.0016982743543903372,True
51,51,25,1,sty+bert+perp,3,1,0.9989189444064432,True
52,52,26,0,sty+bert+perp,3,0,0.00677376208926545,True
53,53,26,1,sty+bert+perp,3,1,0.9990086466378291,True
54,54,27,0,sty+bert+perp,3,0,0.0004788465452649668,True
55,55,27,1,sty+bert+perp,3,1,0.9948778708483913,True
56,56,28,0,sty+bert+perp,3,1,0.9266583370411576,False
57,57,28,1,sty+bert+perp,3,1,0.9997335571269025,True
58,58,29,0,sty+bert+perp,3,0,0.0024741470522817977,True
59,59,29,1,sty+bert+perp,3,1,0.9998500353798064,True
60,60,30,0,sty+bert+perp,3,0,0.0007740226815783614,True
61,61,30,1,sty+bert+perp,3,1,0.9997703546728581,True
62,62,31,0,sty+bert+perp,3,0,0.0009518167352001039,True
63,63,31,1,sty+bert+perp,3,1,0.9838024782192665,True
64,64,32,0,sty+bert+perp,3,0,0.003472826356846122,True
65,65,32,1,sty+bert+perp,3,0,0.001387463435801893,False
66,66,33,0,sty+bert+perp,3,0,0.0003660523608752597,True
67,67,33,1,sty+bert+perp,3,1,0.9977562907555961,True
68,68,34,0,sty+bert+perp,3,0,0.004494195606221754,True
69,69,34,1,sty+bert+perp,3,1,0.9911560621641599,True
70,70,35,0,sty+bert+perp,3,0,0.03816294510885884,True
71,71,35,1,sty+bert+perp,3,1,0.9996126802762987,True
72,72,36,0,sty+bert+perp,3,0,0.00013226150924521696,True
73,73,36,1,sty+bert+perp,3,1,0.9996031137838405,True
74,74,37,0,sty+bert+perp,3,0,5.884194584403111e-05,True
75,75,37,1,sty+bert+perp,3,1,0.9987078228619336,True
76,76,38,0,sty+bert+perp,3,0,0.008020017597595245,True
77,77,38,1,sty+bert+perp,3,1,0.9998537642600647,True
78,78,39,0,sty+bert+perp,3,0,0.0015809574044966502,True
79,79,39,1,sty+bert+perp,3,1,0.9998161992355683,True
80,80,40,0,sty+bert+perp,3,0,0.0018741503953314711,True
81,81,40,1,sty+bert+perp,3,1,0.9962031670314374,True
82,82,41,0,sty+bert+perp,3,0,0.00013985780798546148,True
83,83,41,1,sty+bert+perp,3,1,0.9975667554335397,True
84,84,42,0,sty+bert+perp,3,0,0.006012777671583648,True
85,85,42,1,sty+bert+perp,3,1,0.9998560899103083,True
86,86,43,0,sty+bert+perp,3,0,0.007465339274682207,True
87,87,43,1,sty+bert+perp,3,1,0.9952908637190987,True
88,88,44,0,sty+bert+perp,3,0,0.015625877028277026,True
89,89,44,1,sty+bert+perp,3,1,0.8660469730946269,True
90,90,45,0,sty+bert+perp,3,0,0.15633631311601817,True
91,91,45,1,sty+bert+perp,3,1,0.9026477666517974,True
92,92,46,0,sty+bert+perp,3,0,0.0006470072150891539,True
93,93,46,1,sty+bert+perp,3,1,0.9999829384635172,True
94,94,47,0,sty+bert+perp,3,0,0.006311803402937297,True
95,95,47,1,sty+bert+perp,3,1,0.9987525537895241,True
96,96,48,0,sty+bert+perp,3,0,0.0002588892513612564,True
97,97,48,1,sty+bert+perp,3,1,0.9550916640770017,True
98,98,49,0,sty+bert+perp,3,0,0.0009352201074473197,True
99,99,49,1,sty+bert+perp,3,1,0.999782268434908,True
100,100,50,0,sty+bert+perp,3,0,0.020067905972328232,True
101,101,50,1,sty+bert+perp,3,1,0.999883251657872,True
102,102,51,0,sty+bert+perp,3,0,0.0008821899740290237,True
103,103,51,1,sty+bert+perp,3,1,0.9997045010326817,True
104,104,52,0,sty+bert+perp,3,0,0.00010971710620320035,True
105,105,52,1,sty+bert+perp,3,1,0.8847187277562382,True
106,106,53,0,sty+bert+perp,3,0,0.0005079399736824576,True
107,107,53,1,sty+bert+perp,3,1,0.9990685838724749,True
108,108,54,0,sty+bert+perp,3,0,0.01203401101874438,True
109,109,54,1,sty+bert+perp,3,1,0.893695674161314,True
110,110,55,0,sty+bert+perp,3,0,0.0075911964141527,True
111,111,55,1,sty+bert+perp,3,1,0.999809337940163,True
112,112,56,0,sty+bert+perp,3,0,0.00027715209331474847,True
113,113,56,1,sty+bert+perp,3,1,0.9999243464286495,True
114,114,57,0,sty+bert+perp,3,0,0.004913701045341369,True
115,115,57,1,sty+bert+perp,3,1,0.9996544588547712,True
116,116,58,0,sty+bert+perp,3,0,0.010389990334778514,True
117,117,58,1,sty+bert+perp,3,1,0.9997080469518812,True
118,118,59,0,sty+bert+perp,3,0,0.0006158365121258662,True
119,119,59,1,sty+bert+perp,3,1,0.9999495060600004,True
120,120,60,0,sty+bert+perp,3,0,0.0006171285881825667,True
121,121,60,1,sty+bert+perp,3,1,0.9989985567632312,True
122,122,61,0,sty+bert+perp,3,0,0.0032509041987209856,True
123,123,61,1,sty+bert+perp,3,1,0.9993752586050754,True
124,124,62,0,sty+bert+perp,3,0,0.01400545680412977,True
125,125,62,1,sty+bert+perp,3,1,0.9962561224753413,True
126,126,63,0,sty+bert+perp,3,0,0.004352854172637446,True
127,127,63,1,sty+bert+perp,3,1,0.985513180619315,True
128,128,64,0,sty+bert+perp,3,0,0.0014667659432748205,True
129,129,64,1,sty+bert+perp,3,1,0.9471423416324796,True
130,130,65,0,sty+bert+perp,3,1,0.5917844848506554,False
131,131,65,1,sty+bert+perp,3,1,0.9902799941136422,True
132,132,66,0,sty+bert+perp,3,0,0.07686875127271844,True
133,133,66,1,sty+bert+perp,3,1,0.9988629135132924,True
134,134,67,0,sty+bert+perp,3,0,0.002095943486339407,True
135,135,67,1,sty+bert+perp,3,1,0.9995862267176292,True
136,136,68,0,sty+bert+perp,3,0,0.020866028528899662,True
137,137,68,1,sty+bert+perp,3,1,0.9978937781171336,True
138,138,69,0,sty+bert+perp,3,0,0.023720836460601493,True
139,139,69,1,sty+bert+perp,3,1,0.96797712082156,True
140,140,70,0,sty+bert+perp,3,0,0.004697832902592902,True
141,141,70,1,sty+bert+perp,3,1,0.9983075635109124,True
142,142,71,0,sty+bert+perp,3,0,8.717313275420455e-05,True
143,143,71,1,sty+bert+perp,3,1,0.9999578623463372,True
144,144,72,0,sty+bert+perp,3,0,0.002269698299077202,True
145,145,72,1,sty+bert+perp,3,1,0.9993622542065205,True
146,146,73,1,sty+bert+perp,3,1,0.9998846793716224,True
147,147,74,0,sty+bert+perp,3,0,9.573481769122849e-05,True
148,148,74,1,sty+bert+perp,3,1,0.9999321060350715,True
149,149,75,0,sty+bert+perp,3,0,0.0011592040823287433,True
150,150,75,1,sty+bert+perp,3,1,0.9929844905109984,True
151,151,76,0,sty+bert+perp,3,0,0.0007144218659017352,True
152,152,76,1,sty+bert+perp,3,1,0.9986209138782519,True
153,153,77,0,sty+bert+perp,3,0,0.005610485914157999,True
154,154,77,1,sty+bert+perp,3,1,0.9869639332555044,True
155,155,78,0,sty+bert+perp,3,0,0.06050587709902905,True
156,156,78,1,sty+bert+perp,3,0,0.14606751463560688,False
157,157,79,0,sty+bert+perp,3,0,0.27494279038364744,True
158,158,79,1,sty+bert+perp,3,0,0.47317875387171576,False
159,159,80,0,sty+bert+perp,3,0,0.00359894369612652,True
160,160,80,1,sty+bert+perp,3,1,0.9710424783124997,True
161,161,81,0,sty+bert+perp,3,0,0.0003547211498182786,True
162,162,81,1,sty+bert+perp,3,1,0.9997403161908813,True
163,163,82,0,sty+bert+perp,3,0,0.00031596493769430443,True
164,164,82,1,sty+bert+perp,3,1,0.9999183518857758,True
165,165,83,0,sty+bert+perp,3,0,0.0004563282860575623,True
166,166,83,1,sty+bert+perp,3,1,0.9794811829979411,True
167,167,84,0,sty+bert+perp,3,0,0.0005682992189270171,True
168,168,84,1,sty+bert+perp,3,1,0.99961786219419,True
169,169,85,0,sty+bert+perp,3,0,0.0006798178752044828,True
170,170,85,1,sty+bert+perp,3,1,0.9992304245808764,True
171,171,86,0,sty+bert+perp,3,0,0.14756605991221516,True
172,172,86,1,sty+bert+perp,3,1,0.9996461165470333,True
173,173,87,0,sty+bert+perp,3,0,0.0001522568964933668,True
174,174,87,1,sty+bert+perp,3,1,0.9995657992600373,True
175,175,88,0,sty+bert+perp,3,0,0.25643899941773574,True
176,176,88,1,sty+bert+perp,3,1,0.9944501010658854,True
177,177,89,0,sty+bert+perp,3,0,0.000875661720624071,True
178,178,89,1,sty+bert+perp,3,1,0.9995796574256426,True
179,179,90,0,sty+bert+perp,3,0,0.001115498788588552,True
180,180,90,1,sty+bert+perp,3,1,0.993428652314798,True
181,181,91,0,sty+bert+perp,3,0,0.04168877544577874,True
182,182,91,1,sty+bert+perp,3,1,0.9994696701587729,True
183,183,92,0,sty+bert+perp,3,0,0.05774974673628555,True
184,184,92,1,sty+bert+perp,3,1,0.9999344307998802,True
185,185,93,0,sty+bert+perp,3,0,0.0003012837941713049,True
186,186,93,1,sty+bert+perp,3,1,0.9996870669055358,True
187,187,94,0,sty+bert+perp,3,0,0.010959970397960563,True
188,188,94,1,sty+bert+perp,3,1,0.9970358430036799,True
189,189,95,0,sty+bert+perp,3,0,0.0005752143560360789,True
190,190,95,1,sty+bert+perp,3,1,0.9864838420312648,True
191,191,96,0,sty+bert+perp,3,0,4.414159496338575e-05,True
192,192,96,1,sty+bert+perp,3,1,0.9999105195256459,True
193,193,97,0,sty+bert+perp,3,0,0.004494475074443878,True
194,194,97,1,sty+bert+perp,3,1,0.9997812949782583,True
195,195,98,0,sty+bert+perp,3,0,0.00044517118450087867,True
196,196,98,1,sty+bert+perp,3,1,0.9936531778930681,True
197,197,99,0,sty+bert+perp,3,0,0.0002158236090092666,True
198,198,99,1,sty+bert+perp,3,1,0.9996237906026664,True
199,199,100,0,sty+bert+perp,3,0,7.37651901260255e-05,True
200,200,100,1,sty+bert+perp,3,1,0.9996021502825517,True
201,201,101,0,sty+bert+perp,3,0,0.0001748056948123748,True
202,202,101,1,sty+bert+perp,3,1,0.9994959892816965,True
203,203,102,0,sty+bert+perp,3,0,0.00011352747793468542,True
204,204,102,1,sty+bert+perp,3,1,0.9996329152846979,True
205,205,103,0,sty+bert+perp,3,0,0.0005206275319298719,True
206,206,103,1,sty+bert+perp,3,1,0.9996180184068437,True
207,207,104,0,sty+bert+perp,3,0,0.009658792177807232,True
208,208,104,1,sty+bert+perp,3,1,0.9996487919530378,True
209,209,105,0,sty+bert+perp,3,0,0.003990580559944266,True
210,210,105,1,sty+bert+perp,3,1,0.9997300182071056,True
211,211,106,0,sty+bert+perp,3,0,0.0002997502582402195,True
212,212,106,1,sty+bert+perp,3,1,0.9959536699927029,True
213,213,107,0,sty+bert+perp,3,0,0.004683280709429507,True
214,214,107,1,sty+bert+perp,3,1,0.9993222069833516,True
215,215,108,0,sty+bert+perp,3,0,1.5003847418154136e-05,True
216,216,108,1,sty+bert+perp,3,1,0.9871487386076708,True
217,217,109,0,sty+bert+perp,3,0,0.0007641986566999662,True
218,218,109,1,sty+bert+perp,3,0,0.21754481843136844,False
219,219,110,0,sty+bert+perp,3,0,0.0002343728497835407,True
220,220,110,1,sty+bert+perp,3,1,0.9872170421417935,True
221,221,111,0,sty+bert+perp,3,0,0.0006786659715494776,True
222,222,111,1,sty+bert+perp,3,1,0.9980720850939527,True
223,223,112,0,sty+bert+perp,3,0,8.578167385196869e-05,True
224,224,112,1,sty+bert+perp,3,1,0.9990886602735856,True
225,225,113,0,sty+bert+perp,3,0,0.00016591433668580076,True
226,226,113,1,sty+bert+perp,3,1,0.9843212461739559,True
227,227,114,0,sty+bert+perp,3,0,0.0016884148581351333,True
228,228,114,1,sty+bert+perp,3,1,0.9993824070533527,True
229,229,115,0,sty+bert+perp,3,0,0.002154990926879455,True
230,230,115,1,sty+bert+perp,3,1,0.9998458419159805,True
231,231,116,0,sty+bert+perp,3,0,0.00010054087130681012,True
232,232,116,1,sty+bert+perp,3,1,0.9999245729193893,True
233,233,117,0,sty+bert+perp,3,0,0.00012762884527636119,True
234,234,117,1,sty+bert+perp,3,1,0.998779889910133,True
235,235,118,0,sty+bert+perp,3,0,0.15271705380342943,True
236,236,118,1,sty+bert+perp,3,1,0.9997427981253638,True
237,237,119,0,sty+bert+perp,3,0,0.0007728045352854166,True
238,238,119,1,sty+bert+perp,3,1,0.9993091873747384,True
239,239,120,0,sty+bert+perp,3,0,0.0423284261942543,True
240,240,120,1,sty+bert+perp,3,1,0.9986494629759654,True
241,241,121,0,sty+bert+perp,3,0,0.005268993807987141,True
242,242,121,1,sty+bert+perp,3,1,0.9998757484189402,True
243,243,122,0,sty+bert+perp,3,0,0.011781534983080376,True
244,244,122,1,sty+bert+perp,3,1,0.9998436187877588,True
245,245,123,0,sty+bert+perp,3,0,0.18681093459823475,True
246,246,123,1,sty+bert+perp,3,1,0.9992074420193061,True
247,247,124,0,sty+bert+perp,3,0,0.0005499100734091551,True
248,248,124,1,sty+bert+perp,3,1,0.9997913536751885,True
249,249,125,0,sty+bert+perp,3,0,0.00828119437104084,True
250,250,125,1,sty+bert+perp,3,1,0.8701423892156733,True
251,251,126,0,sty+bert+perp,3,0,0.00043470243453952375,True
252,252,126,1,sty+bert+perp,3,1,0.9989158884164465,True
253,253,127,0,sty+bert+perp,3,0,0.00032610449617682984,True
254,254,127,1,sty+bert+perp,3,1,0.9998346853788509,True
255,255,128,0,sty+bert+perp,3,0,0.003943252128410326,True
256,256,128,1,sty+bert+perp,3,1,0.9629667121628154,True
257,257,129,0,sty+bert+perp,3,0,9.673985326783006e-05,True
258,258,129,1,sty+bert+perp,3,1,0.9988551692614066,True
259,259,130,0,sty+bert+perp,3,0,0.0005323100990043453,True
260,260,130,1,sty+bert+perp,3,1,0.9970589038471335,True
261,261,131,0,sty+bert+perp,3,0,0.0002670647890330266,True
262,262,131,1,sty+bert+perp,3,1,0.9987299108795685,True
263,263,132,0,sty+bert+perp,3,0,0.011628127610681363,True
264,264,132,1,sty+bert+perp,3,1,0.9990286242458897,True
265,265,133,0,sty+bert+perp,3,0,1.8816100105405293e-05,True
266,266,133,1,sty+bert+perp,3,1,0.9992690404593179,True
267,267,134,0,sty+bert+perp,3,0,0.01376521088115977,True
268,268,134,1,sty+bert+perp,3,0,0.2477027813673113,False
269,269,135,0,sty+bert+perp,3,0,0.003909907498639947,True
270,270,135,1,sty+bert+perp,3,1,0.9996979521037053,True
271,271,136,0,sty+bert+perp,3,0,0.014780436112281746,True
272,272,136,1,sty+bert+perp,3,1,0.9990243794413887,True
273,273,137,0,sty+bert+perp,3,0,0.0005489700243678425,True
274,274,137,1,sty+bert+perp,3,1,0.9994069917525481,True
275,275,138,0,sty+bert+perp,3,0,0.0015473008641208779,True
276,276,138,1,sty+bert+perp,3,1,0.9866326707167283,True
277,277,139,0,sty+bert+perp,3,0,0.0002819324484997639,True
278,278,139,1,sty+bert+perp,3,1,0.9912896175811804,True
279,279,140,0,sty+bert+perp,3,0,0.0041309750277436046,True
280,280,140,1,sty+bert+perp,3,1,0.9991900505421175,True
281,281,141,0,sty+bert+perp,3,0,0.0010305245802512048,True
282,282,141,1,sty+bert+perp,3,1,0.9986599803636129,True
283,283,142,0,sty+bert+perp,3,0,0.0007267113271498254,True
284,284,142,1,sty+bert+perp,3,1,0.9999209681670346,True
285,285,143,0,sty+bert+perp,3,0,0.0004045599401649069,True
286,286,143,1,sty+bert+perp,3,1,0.999620609891032,True
287,287,144,0,sty+bert+perp,3,0,0.0005638293552262605,True
288,288,144,1,sty+bert+perp,3,1,0.9991030726440129,True
289,289,145,0,sty+bert+perp,3,0,0.013559908826176685,True
290,290,145,1,sty+bert+perp,3,1,0.9934802117716527,True
