row_index,doc_id,source_id,label_aktual,kombinasi,n_fitur,prediksi,probabilitas_AI,benar
0,0,0,0,sty+perp,2,0,0.049419061184155094,True
1,1,0,1,sty+perp,2,1,0.9973066451027138,True
2,2,1,0,sty+perp,2,0,0.0011477307740991858,True
3,3,1,1,sty+perp,2,1,0.9997500240990407,True
4,4,2,0,sty+perp,2,0,0.011648142203037625,True
5,5,2,1,sty+perp,2,1,0.9945364542994424,True
6,6,3,0,sty+perp,2,0,0.005769611884745258,True
7,7,3,1,sty+perp,2,1,0.9999555686274986,True
8,8,4,0,sty+perp,2,0,0.0011540586557233041,True
9,9,4,1,sty+perp,2,1,0.9999481678239044,True
10,10,5,0,sty+perp,2,0,0.007230142154718396,True
11,11,5,1,sty+perp,2,1,0.9950039897119807,True
12,12,6,0,sty+perp,2,0,0.00016569066510355247,True
13,13,6,1,sty+perp,2,1,0.9999668612899612,True
14,14,7,0,sty+perp,2,0,0.0028854901306834195,True
15,15,7,1,sty+perp,2,1,0.9998659013701181,True
16,16,8,0,sty+perp,2,0,0.00014261207053183235,True
17,17,8,1,sty+perp,2,1,0.9999235851033285,True
18,18,9,0,sty+perp,2,1,0.59758576103359,False
19,19,9,1,sty+perp,2,1,0.9996844368224185,True
20,20,10,0,sty+perp,2,0,0.010513101486527367,True
21,21,10,1,sty+perp,2,1,0.9978343748413828,True
22,22,11,0,sty+perp,2,0,5.878460781983711e-05,True
23,23,11,1,sty+perp,2,1,0.9968385899197892,True
24,24,12,0,sty+perp,2,0,0.0010943090078170427,True
25,25,12,1,sty+perp,2,1,0.9996963311850934,True
26,26,13,0,sty+perp,2,0,0.001072353630088057,True
27,27,13,1,sty+perp,2,1,0.9994100522451902,True
28,28,14,0,sty+perp,2,0,0.0012982441425676012,True
29,29,14,1,sty+perp,2,1,0.9999732998620372,True
30,30,15,0,sty+perp,2,0,0.0006184078947160193,True
31,31,15,1,sty+perp,2,1,0.9996993082361307,True
32,32,16,0,sty+perp,2,0,0.03461068494659499,True
33,33,16,1,sty+perp,2,1,0.9874064453606727,True
