row_index,doc_id,source_id,label_aktual,kombinasi,n_fitur,prediksi,probabilitas_AI,benar
0,0,0,0,sty+tfidf,2,1,0.626555774492256,False
1,1,0,1,sty+tfidf,2,1,0.9820572650223771,True
2,2,1,0,sty+tfidf,2,0,0.007743214097447273,True
3,3,1,1,sty+tfidf,2,1,0.9807015033783442,True
4,4,2,0,sty+tfidf,2,0,0.008706370279310916,True
5,5,2,1,sty+tfidf,2,1,0.9745330561403962,True
6,6,3,0,sty+tfidf,2,0,0.11093807077513944,True
7,7,3,1,sty+tfidf,2,1,0.9974384101324366,True
8,8,4,0,sty+tfidf,2,0,0.01451138540592241,True
9,9,4,1,sty+tfidf,2,1,0.9947606973783008,True
10,10,5,0,sty+tfidf,2,0,0.015672316808665217,True
11,11,5,1,sty+tfidf,2,1,0.8919862112352369,True
12,12,6,0,sty+tfidf,2,0,0.0028820739168103635,True
13,13,6,1,sty+tfidf,2,1,0.994242225337659,True
14,14,7,0,sty+tfidf,2,0,0.009809780291031415,True
15,15,7,1,sty+tfidf,2,1,0.9952045461955219,True
16,16,8,0,sty+tfidf,2,0,0.000939054325182077,True
17,17,8,1,sty+tfidf,2,1,0.9992037659987251,True
18,18,9,0,sty+tfidf,2,0,0.16363989150872568,True
19,19,9,1,sty+tfidf,2,1,0.9347253068093274,True
20,20,10,0,sty+tfidf,2,0,0.25769171887419356,True
21,21,10,1,sty+tfidf,2,1,0.985269265715454,True
22,22,11,0,sty+tfidf,2,0,0.016039593862383315,True
23,23,11,1,sty+tfidf,2,1,0.9545290299284344,True
24,24,12,0,sty+tfidf,2,0,0.006310944323640211,True
25,25,12,1,sty+tfidf,2,1,0.9960758548341881,True
26,26,13,0,sty+tfidf,2,0,0.003162761205551387,True
27,27,13,1,sty+tfidf,2,1,0.9879634801444472,True
28,28,14,0,sty+tfidf,2,0,0.002091226754405095,True
29,29,14,1,sty+tfidf,2,1,0.9263591599922648,True
30,30,15,0,sty+tfidf,2,0,0.00529751601091349,True
31,31,15,1,sty+tfidf,2,1,0.9993942224689508,True
32,32,16,0,sty+tfidf,2,0,0.10594053814450259,True
33,33,16,1,sty+tfidf,2,1,0.9935751663568515,True
