row_index,doc_id,source_id,label_aktual,kombinasi,n_fitur,prediksi,probabilitas_AI,benar
0,0,0,0,tfidf,1,0,0.09307350907844109,True
1,1,0,1,tfidf,1,1,0.9403295321608716,True
2,2,1,0,tfidf,1,0,0.006374072967105297,True
3,3,1,1,tfidf,1,1,0.6462085472316379,True
4,4,2,0,tfidf,1,0,0.021828614902413713,True
5,5,2,1,tfidf,1,0,0.1840296140173456,False
6,6,3,0,tfidf,1,0,0.4056691335650494,True
7,7,3,1,tfidf,1,1,0.9051876540099657,True
8,8,4,0,tfidf,1,1,0.8537957369483778,False
9,9,4,1,tfidf,1,1,0.9040914038940542,True
10,10,5,0,tfidf,1,0,0.12425539244935954,True
11,11,5,1,tfidf,1,1,0.7691676931019215,True
12,12,6,0,tfidf,1,0,0.011242638453823676,True
13,13,6,1,tfidf,1,1,0.8522310783739168,True
14,14,7,0,tfidf,1,0,0.022888607837694624,True
15,15,7,1,tfidf,1,1,0.6836494922937504,True
16,16,8,0,tfidf,1,0,0.3091621196937751,True
17,17,8,1,tfidf,1,1,0.9877651381866731,True
18,18,9,0,tfidf,1,0,0.3453459237601422,True
19,19,9,1,tfidf,1,1,0.5104310479345268,True
20,20,10,0,tfidf,1,0,0.18628820108518207,True
21,21,10,1,tfidf,1,1,0.8896689195355021,True
22,22,11,0,tfidf,1,0,0.11683403956785154,True
23,23,11,1,tfidf,1,0,0.23341002572837652,False
24,24,12,0,tfidf,1,1,0.5294606048834127,False
25,25,12,1,tfidf,1,1,0.8050574022568647,True
26,26,13,0,tfidf,1,0,0.32202740680871,True
27,27,13,1,tfidf,1,1,0.8840335513408007,True
28,28,14,0,tfidf,1,0,0.048593388481470066,True
29,29,14,1,tfidf,1,0,0.4910269693511823,False
30,30,15,0,tfidf,1,0,0.029817264935165216,True
31,31,15,1,tfidf,1,1,0.9938548511629564,True
32,32,16,0,tfidf,1,0,0.4509030784217048,True
33,33,16,1,tfidf,1,1,0.96336733558752,True
34,34,17,0,tfidf,1,0,0.12993688949713242,True
35,35,17,1,tfidf,1,1,0.9749619203371561,True
36,36,18,0,tfidf,1,0,0.17549731514578096,True
37,37,18,1,tfidf,1,1,0.71434811449662,True
38,38,19,0,tfidf,1,0,0.20314982173929103,True
39,39,19,1,tfidf,1,1,0.9995268829663748,True
40,40,20,0,tfidf,1,0,0.0251005222412655,True
41,41,20,1,tfidf,1,1,0.5146694733911328,True
42,42,21,0,tfidf,1,1,0.7566449118227145,False
43,43,21,1,tfidf,1,1,0.9501685819758944,True
44,44,22,0,tfidf,1,0,0.0840420656943189,True
45,45,22,1,tfidf,1,1,0.942550119938493,True
46,46,23,0,tfidf,1,0,0.0016333076593266118,True
47,47,23,1,tfidf,1,1,0.9717016430174698,True
48,48,24,0,tfidf,1,0,0.12529673324160573,True
49,49,24,1,tfidf,1,1,0.8920969300825787,True
50,50,25,0,tfidf,1,0,0.03297834138229808,True
51,51,25,1,tfidf,1,1,0.8611975255592198,True
52,52,26,0,tfidf,1,0,0.3422053111191587,True
53,53,26,1,tfidf,1,1,0.888198306969076,True
54,54,27,0,tfidf,1,0,0.0662244473058984,True
55,55,27,1,tfidf,1,1,0.9609102758969154,True
56,56,28,0,tfidf,1,1,0.5558052281338844,False
57,57,28,1,tfidf,1,1,0.9734180714791089,True
58,58,29,0,tfidf,1,0,0.0709457338641215,True
59,59,29,1,tfidf,1,1,0.97128173107043,True
60,60,30,0,tfidf,1,0,0.07996480901326967,True
61,61,30,1,tfidf,1,1,0.9869395862835619,True
62,62,31,0,tfidf,1,0,0.10378992981970403,True
63,63,31,1,tfidf,1,1,0.913518041652635,True
64,64,32,0,tfidf,1,0,0.07566861072967808,True
65,65,32,1,tfidf,1,0,0.10022789241908348,False
66,66,33,0,tfidf,1,0,0.33593235553382844,True
67,67,33,1,tfidf,1,1,0.9381350266786807,True
68,68,34,0,tfidf,1,0,0.08850045738053418,True
69,69,34,1,tfidf,1,1,0.536839867497907,True
70,70,35,0,tfidf,1,0,0.10077806752739277,True
71,71,35,1,tfidf,1,1,0.9416246497741102,True
72,72,36,0,tfidf,1,0,0.04066140602052278,True
73,73,36,1,tfidf,1,1,0.6571496501844128,True
74,74,37,0,tfidf,1,0,0.06137333844487164,True
75,75,37,1,tfidf,1,1,0.9322057787342473,True
76,76,38,0,tfidf,1,0,0.06859440488420396,True
77,77,38,1,tfidf,1,1,0.9895653996531831,True
78,78,39,0,tfidf,1,0,0.06122093382171328,True
79,79,39,1,tfidf,1,0,0.4593589956501729,False
80,80,40,0,tfidf,1,0,0.10600699392442392,True
81,81,40,1,tfidf,1,1,0.9736119098755662,True
82,82,41,0,tfidf,1,0,0.036006734248868785,True
83,83,41,1,tfidf,1,1,0.7812104705235922,True
84,84,42,0,tfidf,1,0,0.24227798491520142,True
85,85,42,1,tfidf,1,1,0.6678831257623199,True
86,86,43,0,tfidf,1,0,0.454108867593273,True
87,87,43,1,tfidf,1,1,0.9984689134217222,True
88,88,44,0,tfidf,1,0,0.2492028266956639,True
89,89,44,1,tfidf,1,1,0.9537824632782036,True
90,90,45,0,tfidf,1,0,0.10772620430767837,True
91,91,45,1,tfidf,1,0,0.10051960372589837,False
92,92,46,0,tfidf,1,0,0.09413489870759777,True
93,93,46,1,tfidf,1,1,0.9660209167651904,True
94,94,47,0,tfidf,1,0,0.027283757955453306,True
95,95,47,1,tfidf,1,1,0.9250188782392386,True
96,96,48,0,tfidf,1,0,0.01651047626208737,True
97,97,48,1,tfidf,1,0,0.42597065879552576,False
98,98,49,0,tfidf,1,0,0.01218497065108203,True
