doc_id,source_id,source,label,n_words,preview_teks,sty__char_count,sty__word_count,sty__sentence_count,sty__avg_sentence_length,sty__avg_word_length,sty__unique_word_ratio,sty__comma_count,sty__semicolon_count,sty__question_mark_count,sty__exclamation_mark_count,sty__period_count,sty__colon_count,sty__punctuation_ratio,sty__uppercase_ratio,sty__digit_ratio,sty__special_char_count,sty__special_char_ratio,sty__function_word_ratio,perplexity
0,0,id_newspapers_2018,0,301,"Setelah bergabung dengan Ducati, Jorge Lorenzo berharap bisa masuk dalam jajaran",2043.0,301.0,13.0,23.153847,5.6192055,0.54635763,19.0,0.0,0.0,0.0,13.0,1.0,0.01566324,0.03377386,0.009300049,46.0,0.022515908,0.20198676,61.540802
1,0,id_newspapers_2018,1,294,"Pebalap MotoGP legendaris, Jorge Lorenzo, kembali mencuri perhatian setelah meng",2060.0,294.0,21.0,14.0,5.8435373,0.5442177,18.0,0.0,0.0,0.0,21.0,0.0,0.018932039,0.032038834,0.0029126212,49.0,0.023786407,0.20408164,22.30687
2,1,id_newspapers_2018,0,285,Musisi Ahmad Dhani memenuhi panggilan Polda Metro Jaya untuk diperiksa sebagai s,2028.0,285.0,20.0,14.25,5.83391,0.62975776,23.0,0.0,0.0,0.0,20.0,0.0,0.021203157,0.06311637,0.00739645,58.0,0.028599605,0.14532872,69.76081
3,1,id_newspapers_2018,1,281,"Ahmad Dhani, personel grup band Dewa 19, mengaku tak memiliki informasi mengenai",1978.0,281.0,15.0,18.733334,5.893617,0.5212766,14.0,0.0,0.0,0.0,15.0,0.0,0.014661274,0.025278058,0.0020222447,36.0,0.018200202,0.19858156,25.545443
4,2,id_newspapers_2018,0,365,Keputusan Presiden Joko Widodo menetapkan Kepala Badan Nasional Penanggulangan T,2599.0,365.0,21.0,17.380953,5.8722825,0.5842391,26.0,0.0,0.0,0.0,21.0,0.0,0.018083878,0.06271643,0.0076952674,74.0,0.028472489,0.16304348,54.13844
5,2,id_newspapers_2018,1,309,"Mantan Kepala Badan Reserse dan Kriminal Polri, Tito Karnavian diyakini salah sa",2387.0,309.0,20.0,15.45,6.5935483,0.57419354,14.0,0.0,0.0,0.0,20.0,0.0,0.014243821,0.035190616,0.0016757436,35.0,0.014662757,0.21290323,37.595905
6,3,id_newspapers_2018,0,230,Perusahaan semikonduktor Qualcomm mengumumkan kehadiran fitur SafeSwitch pada se,1729.0,230.0,14.0,16.428572,6.3506494,0.64935064,13.0,0.0,1.0,0.0,13.0,0.0,0.015615963,0.03528051,0.013880856,33.0,0.019086177,0.22077923,81.98834
7,3,id_newspapers_2018,1,316,Prosesor Snapdragon dipastikan semakin canggih dengan kemampuan Anti Maling yang,2346.0,316.0,21.0,15.047619,6.190031,0.43925235,18.0,0.0,0.0,0.0,21.0,0.0,0.01662404,0.018755328,0.0,44.0,0.018755328,0.23676012,19.784868
8,4,id_newspapers_2018,0,400,"Dari segi pariwisata, daya tarik Indonesia tidak bisa dimungkiri. Kekayaan alam ",2948.0,400.0,16.0,25.0,6.1488833,0.6377171,40.0,0.0,0.0,0.0,16.0,0.0,0.01899593,0.05597015,0.017639078,71.0,0.024084125,0.17866005,73.07512
9,4,id_newspapers_2018,1,291,Dewasa ini semakin banyak tempat wisata bahari yang mulai dijadikan sebagai alte,2131.0,291.0,18.0,16.166666,6.24055,0.5223368,7.0,0.0,0.0,0.0,18.0,0.0,0.011731582,0.01877053,0.0,25.0,0.011731582,0.24054983,28.36924
