model,fold,accuracy,f1,f1_macro,roc_auc,balanced_accuracy,precision,recall,train_f1_macro,gap_f1_macro,fit_time_s
Random Forest,1,0.9732,0.9731,0.9732,0.9973,0.9733,0.983,0.9633,0.9973,0.024,10.1
Random Forest,2,0.9732,0.9731,0.9732,0.9962,0.9733,0.983,0.9633,0.9969,0.0236,10.0
Random Forest,3,0.9741,0.9739,0.9741,0.9961,0.9741,0.983,0.965,0.9973,0.0232,10.2
Random Forest,4,0.9732,0.9732,0.9732,0.9972,0.9733,0.9781,0.9683,0.9962,0.023,10.0
Random Forest,5,0.9674,0.967,0.9674,0.9969,0.9674,0.9811,0.9533,0.9962,0.0289,9.9
XGBoost,1,0.9808,0.9808,0.9808,0.9986,0.9808,0.9816,0.98,1.0,0.0192,11.4
XGBoost,2,0.9849,0.9849,0.9849,0.9983,0.985,0.9932,0.9767,1.0,0.0151,11.6
XGBoost,3,0.9816,0.9816,0.9816,0.9982,0.9816,0.9849,0.9783,1.0,0.0184,11.3
XGBoost,4,0.9841,0.9841,0.9841,0.999,0.9841,0.9866,0.9817,1.0,0.0159,11.4
XGBoost,5,0.9824,0.9824,0.9824,0.999,0.9825,0.9898,0.975,1.0,0.0176,11.7
CatBoost,1,0.9833,0.9834,0.9833,0.9984,0.9833,0.9817,0.985,1.0,0.0167,19.5
CatBoost,2,0.9841,0.9841,0.9841,0.9979,0.9841,0.9899,0.9783,1.0,0.0159,20.3
CatBoost,3,0.9816,0.9816,0.9816,0.9977,0.9816,0.9849,0.9783,1.0,0.0184,19.9
CatBoost,4,0.9858,0.9858,0.9858,0.9986,0.9858,0.9866,0.985,1.0,0.0142,20.9
CatBoost,5,0.9841,0.9841,0.9841,0.9991,0.9841,0.9899,0.9783,1.0,0.0159,19.4
