model,fold,accuracy,f1,f1_macro,roc_auc,balanced_accuracy,precision,recall,train_f1_macro,gap_f1_macro,fit_time_s
CatBoost,1,0.9833,0.9834,0.9833,0.9984,0.9833,0.9817,0.985,1.0,0.0167,14.5
CatBoost,2,0.9841,0.9841,0.9841,0.9979,0.9841,0.9899,0.9783,1.0,0.0159,17.1
CatBoost,3,0.9816,0.9816,0.9816,0.9977,0.9816,0.9849,0.9783,1.0,0.0184,16.1
CatBoost,4,0.9858,0.9858,0.9858,0.9986,0.9858,0.9866,0.985,1.0,0.0142,15.6
CatBoost,5,0.9841,0.9841,0.9841,0.9991,0.9841,0.9899,0.9783,1.0,0.0159,13.5
Random Forest,1,0.9732,0.9731,0.9732,0.9973,0.9733,0.983,0.9633,0.9973,0.024,7.8
Random Forest,2,0.9732,0.9731,0.9732,0.9962,0.9733,0.983,0.9633,0.9969,0.0236,8.3
Random Forest,3,0.9741,0.9739,0.9741,0.9961,0.9741,0.983,0.965,0.9973,0.0232,7.4
Random Forest,4,0.9732,0.9732,0.9732,0.9972,0.9733,0.9781,0.9683,0.9962,0.023,6.8
Random Forest,5,0.9674,0.967,0.9674,0.9969,0.9674,0.9811,0.9533,0.9962,0.0289,6.6
XGBoost,1,0.9808,0.9808,0.9808,0.9986,0.9808,0.9816,0.98,1.0,0.0192,8.3
XGBoost,2,0.9849,0.9849,0.9849,0.9983,0.985,0.9932,0.9767,1.0,0.0151,8.3
XGBoost,3,0.9816,0.9816,0.9816,0.9982,0.9816,0.9849,0.9783,1.0,0.0184,8.2
XGBoost,4,0.9841,0.9841,0.9841,0.999,0.9841,0.9866,0.9817,1.0,0.0159,9.5
XGBoost,5,0.9824,0.9824,0.9824,0.999,0.9825,0.9898,0.975,1.0,0.0176,8.7
