kombinasi,n_fitur,model,fold,f1_macro,f1_AI,akurasi,presisi_AI,recall_AI,bal_acc,roc_auc
sty,1,Random Forest,1,0.9373,0.938,0.9373,0.931,0.945,0.9373,0.9838
sty,1,Random Forest,2,0.9423,0.9425,0.9423,0.9432,0.9417,0.9423,0.981
sty,1,Random Forest,3,0.9381,0.9377,0.9381,0.9473,0.9283,0.9382,0.9845
sty,1,Random Forest,4,0.9348,0.9355,0.9348,0.9279,0.9433,0.9348,0.9849
sty,1,Random Forest,5,0.9264,0.9262,0.9264,0.9324,0.92,0.9264,0.9788
sty,1,XGBoost,1,0.9331,0.9339,0.9331,0.9262,0.9417,0.9331,0.9836
sty,1,XGBoost,2,0.939,0.9392,0.939,0.9384,0.94,0.939,0.9836
sty,1,XGBoost,3,0.9373,0.937,0.9373,0.9442,0.93,0.9373,0.9846
sty,1,XGBoost,4,0.9406,0.9409,0.9406,0.9401,0.9417,0.9406,0.9855
sty,1,XGBoost,5,0.9289,0.9283,0.9289,0.9402,0.9167,0.9289,0.9815
sty,1,CatBoost,1,0.939,0.9393,0.939,0.937,0.9417,0.939,0.9849
sty,1,CatBoost,2,0.939,0.9393,0.939,0.937,0.9417,0.939,0.9848
sty,1,CatBoost,3,0.9381,0.9381,0.9381,0.9413,0.935,0.9381,0.9859
sty,1,CatBoost,4,0.9356,0.9363,0.9356,0.9294,0.9433,0.9356,0.9855
sty,1,CatBoost,5,0.928,0.9277,0.928,0.9356,0.92,0.9281,0.9822
tfidf,1,Random Forest,1,0.8921,0.8922,0.8921,0.8945,0.89,0.8921,0.9619
tfidf,1,Random Forest,2,0.898,0.8978,0.898,0.9024,0.8933,0.898,0.9654
tfidf,1,Random Forest,3,0.8762,0.8785,0.8763,0.8657,0.8917,0.8762,0.9428
tfidf,1,Random Forest,4,0.8896,0.8894,0.8896,0.8939,0.885,0.8896,0.9581
tfidf,1,Random Forest,5,0.8954,0.8947,0.8954,0.9046,0.885,0.8954,0.9586
tfidf,1,XGBoost,1,0.9197,0.9191,0.9197,0.93,0.9083,0.9198,0.9743
tfidf,1,XGBoost,2,0.9331,0.9328,0.9331,0.9407,0.925,0.9331,0.9803
tfidf,1,XGBoost,3,0.9189,0.92,0.9189,0.9103,0.93,0.9189,0.966
tfidf,1,XGBoost,4,0.9323,0.9315,0.9323,0.9451,0.9183,0.9323,0.9814
tfidf,1,XGBoost,5,0.9205,0.9197,0.9205,0.9331,0.9067,0.9206,0.9777
tfidf,1,CatBoost,1,0.9047,0.9036,0.9047,0.9175,0.89,0.9047,0.9726
tfidf,1,CatBoost,2,0.9247,0.9242,0.9247,0.9337,0.915,0.9248,0.9785
tfidf,1,CatBoost,3,0.9197,0.9209,0.9197,0.9104,0.9317,0.9197,0.9646
tfidf,1,CatBoost,4,0.9264,0.9261,0.9264,0.9339,0.9183,0.9264,0.9795
tfidf,1,CatBoost,5,0.9263,0.9253,0.9264,0.9429,0.9083,0.9264,0.9748
bert,1,Random Forest,1,0.944,0.9444,0.944,0.9405,0.9483,0.944,0.9856
bert,1,Random Forest,2,0.9331,0.9342,0.9331,0.9221,0.9467,0.9331,0.9854
bert,1,Random Forest,3,0.9364,0.9374,0.9365,0.9267,0.9483,0.9364,0.9847
bert,1,Random Forest,4,0.9415,0.9424,0.9415,0.9302,0.955,0.9414,0.9883
bert,1,Random Forest,5,0.9397,0.9404,0.9397,0.9342,0.9467,0.9397,0.9844
