Metric,Random Forest,XGBoost,CatBoost
CV Accuracy (mean ± SD),0.9722 ± 0.0027,0.9828 ± 0.0017,0.9838 ± 0.0015
CV F1-Macro (mean ± SD),0.9722 ± 0.0027,0.9828 ± 0.0017,0.9838 ± 0.0015
CV ROC-AUC (mean ± SD),0.9967 ± 0.0006,0.9986 ± 0.0004,0.9983 ± 0.0006
CV Balanced Accuracy (mean ± SD),0.9723 ± 0.0027,0.9828 ± 0.0017,0.9838 ± 0.0015
CV Precision (AI) (mean ± SD),0.9816 ± 0.0021,0.9872 ± 0.0045,0.9866 ± 0.0035
CV Recall (AI) (mean ± SD),0.9626 ± 0.0056,0.9783 ± 0.0026,0.9810 ± 0.0037
CV Training F1-Macro (mean ± SD),0.9968 ± 0.0006,1.0000 ± 0.0000,1.0000 ± 0.0000
CV Train–Validation Gap (mean ± SD),0.0245 ± 0.0025,0.0172 ± 0.0017,0.0162 ± 0.0015
OOF Accuracy,0.9722,0.9828,0.9838
OOF Balanced Accuracy,0.9723,0.9828,0.9838
OOF F1-Macro,0.9722,0.9828,0.9838
OOF ROC-AUC,0.9967,0.9986,0.9983
OOF Precision AI,0.9816,0.9872,0.9866
OOF Recall AI,0.9627,0.9783,0.9810
OOF F1 AI,0.9721,0.9828,0.9838
OOF Precision Human,0.9631,0.9784,0.9810
OOF Recall Human / Specificity,0.9819,0.9872,0.9866
OOF F1 Human,0.9724,0.9828,0.9838
OOF TN,2925,2941,2939
OOF FP,54,38,40
OOF FN,112,65,57
OOF TP,2888,2935,2943
OOF Total Errors,166,103,97
