doc_id,source_id,source,model,label_aktual_str,prediksi_str,jenis_kesalahan,prob_AI,cuplikan_teks,text
news-0-human,0,id_newspapers_2018,,manusia,manusia,benar,0.0848,"Setelah bergabung dengan Ducati, Jorge Lorenzo berharap bisa masuk dalam jajaran pebalap yang mampu jadi juara dunia kelas utama dengan dua pabrikan berbeda. Pu","Setelah bergabung dengan Ducati, Jorge Lorenzo berharap bisa masuk dalam jajaran pebalap yang mampu jadi juara dunia kelas utama dengan dua pabrikan berbeda. Pujian Max Biaggi untuk Valentino Rossi Jorge Lorenzo Hadir dalam Ucapan Selamat Natal Yamaha Iannone: Saya Sering Jatuh Karena Ingin yang Terbaik Sepanjang sejarah, hanya ada lima pebalap yang mampu jadi juara kelas utama (500cc/MotoGP) dengan dua pabrikan berbeda, yaitu Geoff Duke, Giacomo Agostini, Eddie Lawson, Valentino Rossi, dan Casey Stoner. Lorenzo ingin bergabung dalam jajaran legenda tersebut. ""Fakta ini sangat penting bagi saya karena hanya ada lima pebalap yang mampu menang dengan dua pabrikan berbeda dalam sejarah balap motor."" ""Kedatangan saya ke Ducati juga menghadirkan tantangan yang sangat menarik karena hampir tak ada yang bisa menang dengan Ducati sebelumnya, kecuali Casey Stoner. Hal itu jadi motivasi yang sangat bagus bagi saya,"" tutur Lorenzo seperti dikutip dari Crash Lorenzo saat ini diliputi rasa penasaran yang besar untuk menunggang sepeda motor Desmosedici yang dipakai tim Ducati karena ia baru sekali menjajal motor tersebut pada sesi tes di Valencia, usai MotoGP musim 2016 berakhir. ""Saya sangat tertarik dengan Ducati arena saya hanya memiliki kesempatan mencoba motor itu di Valencia dua hari setelah musim berakhir. Setelah itu saya tak boleh lagi menjajalnya hingga akhir Januari mendatang. Jadi saya menjalani penantian selama dua bulan yang panjang,"" kata pebalap asal Spanyol ini. Dengan kondisi tersebut, maka Lorenzo memanfaatkan waktu yang ada untuk liburan dan melepaskan penat. ""Setidaknya apa yang terjadi pada saya saat ini sangat bagus karena saya jadi memiliki waktu bebas dan sedikit liburan."" ""Namun tentunya saya tak akan larut dalam liburan karena saya harus lebih bersiap, terutama dalam kondisi fisik dibandingkan sebelumnya, karena saya akan menunggangi motor yang sulit dikendarai,"" ucap Lorenzo. Selama sembilan musim bersama Yamaha, Lorenzo sendiri sudah tiga kali jadi juara dunia, yaitu pada 2010, 2012, dan 2015."
news-0-ai,0,id_newspapers_2018,gpt-3.5-turbo,AI,AI,benar,0.9994,"Pebalap MotoGP legendaris, Jorge Lorenzo, kembali mencuri perhatian setelah mengumumkan keinginannya untuk mengejar rekor yang pernah dibuat oleh Valentino Ross","Pebalap MotoGP legendaris, Jorge Lorenzo, kembali mencuri perhatian setelah mengumumkan keinginannya untuk mengejar rekor yang pernah dibuat oleh Valentino Rossi dan Casey Stoner. Lorenzo, yang baru saja kembali ke ajang balap, mengaku ingin menyamai pencapaian Rossi dan Stoner dalam mengumpulkan gelar juara dunia sebanyak lima kali. ""Saya ingin menjadi seorang pebalap yang terbaik dan mencapai lima gelar juara dunia seperti Valentino Rossi dan Casey Stoner,"" kata Lorenzo dalam konferensi pers. Namun, untuk mencapai tujuannya, Lorenzo harus bekerja lebih keras lagi. Saat ini, pebalap asal Spanyol itu baru mengumpulkan tiga gelar juara dunia. Hal tersebut pun diakui oleh Lorenzo. Meski demikian, ia tidak merasa khawatir dan optimis bisa mengejar ketertinggalannya. ""Saya percaya diri bisa menyamai mereka (Rossi dan Stoner). Saya akan terus bekerja keras dan berlatih dengan keras,"" ujar Lorenzo. Pada musim lalu, Lorenzo sempat mengalami cedera pada tulang belakang saat sedang menjalani balapan di sirkuit Aragon, Spanyol. Namun, ia bersikeras untuk tidak menyerah dan tetap melanjutkan karirnya sebagai pebalap. ""Saya tahu bahwa cedera itu sangat berbahaya dan bisa menimbulkan dampak yang cukup besar. Namun, saya tidak ingin menyerah begitu saja,"" tutur Lorenzo. Lorenzo juga mengungkapkan bahwa ia telah melakukan berbagai persiapan sebelum kembali ke ajang balap. Ia menjalani berbagai latihan fisik dan mental guna meningkatkan performa balapannya. ""Tidak mudah kembali ke sirkuit setelah mengalami cedera. Namun, saya akan tetap fokus dan bertekad untuk kembali menjadi pebalap yang terbaik,"" kata Lorenzo. Lorenzo akan kembali beraksi di MotoGP 2022 yang akan dimulai pada 13 Maret mendatang. Ia akan membela tim Petronas Yamaha Sepang Racing Team setelah sebelumnya membela tim Repsol Honda selama beberapa musim. Tentunya, para penggemar balap MotoGP akan sangat menantikan perjuangan Lorenzo dalam mengejar rekor Rossi dan Stoner. Semoga saja Lorenzo bisa sukses dan menjadi salah satu pebalap terbaik sepanjang sejarah balap motor dunia."
news-1-human,1,id_newspapers_2018,,manusia,manusia,benar,0.0024,"Musisi Ahmad Dhani memenuhi panggilan Polda Metro Jaya untuk diperiksa sebagai saksi tersangka dugaan makar Sri Bintang Pamungkas, Selasa (20/12). Berdasarkan p","Musisi Ahmad Dhani memenuhi panggilan Polda Metro Jaya untuk diperiksa sebagai saksi tersangka dugaan makar Sri Bintang Pamungkas, Selasa (20/12). Berdasarkan pantauan, dia tiba pukul 15.00 WIB. Sedangkan tim kuasa hukumnya yang tergabung dalam Advokat Cinta Tanah Air sudah tiba satu jam sebelum kedatangannya. Tak lama kemudian, Farhat Abbas juga datang untuk mendampingi Ahmad Dhani. Ahmad Dhani mengatakan, dirinya tidak akan memberikan informasi apapun soal Sri Bintang. Dia mengklaim tidak kenal dengan Sri Bintang. Buni Yani dan Ahmad Dhani Jadi Saksi Kasus Sri Bintang Besok Saksi Mengaku Dapat Aliran Dana dari Tersangka Makar Buni Yani Diperiksa Soal Pidato Sri Bintang di Kalijodo ""Informasi pasti tidak ada, karena saya tidak kenal dengan Sri Bintang Pamungkas. Saya pernah ketemu beliau ketika di Mako Brimob,"" ucapnya. Meski demikian, Ahmad Dhani mengaku hadir saat ada pertemuan di Universitas Bung Karno. Namun, ia mengklaim tidak mendengar pidato yang disampaikan oleh Sri Bintang karena terlambat datang. Awalnya, Kepala Subdirektorat Kejahatan dan Kekerasan Direktorat Reserse Kriminal Umum Polda Metro Jaya AKBP Hendy Kurniawan mengatakan, karena Ahmad Dhani sedang sakit maka pemeriksaan terhadap dia yang akan dilakukan hari ini harus ditunda Kamis (22/12). ""Ahmad Dhani ditunda karena sakit. Surat sakit sudah kami terima. Kami sudah koordinasi dengan kuasa hukumnya kemarin,"" ujarnya. Kuasa Hukum Ahmad Dhani, Ali Lubis mengklaim, kliennya tersebut merupakan warga negara yang baik sehingga datang memenuhi panggilan kepolisian. ""Beliau kooperatif, beliau ingin membantu kepolisian jadi lebih cepat lebih baik,"" ucapnya. Ahmad Dhani telah ditetapkan sebagai tersangka dugaan penghinaan terhadap penguasa. Dia ikut ditangkap pada Jumat (2/12) dengan sejumlah tersangka dugaan makar lainnya. Sepuluh tersangka dugaan makar itu adalah Sri Bintang, Kivlan Zein, Adityawarman Thahar, Ratna Sarumpaet, Firza Huzein, Eko Santjojo, Alvin Indra, Rachmawati Soekarnoputri, dan kakak beradik Rizal Kobar dan Jamran."
news-1-ai,1,id_newspapers_2018,gpt-3.5-turbo,AI,AI,benar,0.998,"Ahmad Dhani, personel grup band Dewa 19, mengaku tak memiliki informasi mengenai sosok Sri Bintang yang tengah ramai dibicarakan di media sosial. Seperti diketa","Ahmad Dhani, personel grup band Dewa 19, mengaku tak memiliki informasi mengenai sosok Sri Bintang yang tengah ramai dibicarakan di media sosial. Seperti diketahui, Sri Bintang menjadi perbincangan publik setelah dirinya mengunggah video yang menyebutkan bahwa personel band Dewa 19, Ahmad Dhani, pernah menyebut Sri Bintang sebagai sosok yang berperan dalam pembuatannya dari awal. Klaim tersebut kemudian dibantah oleh Ahmad Dhani melalui sebuah video yang diunggahnya di akun media sosialnya. ""Saya sendiri nggak tahu siapa Sri Bintang itu. Jadi saya gak bisa bicara, saya gak bisa komen, kenapa orang lain mau ngomongin saya tentang Sri Bintang,"" ujar Ahmad Dhani dalam video tersebut. Ahmad Dhani juga mengatakan bahwa beberapa orang yang mengklaim tahu tentang perjalanannya dalam industri musik sebenarnya tidak memiliki informasi yang tepat. ""Saya sekali lagi ingin tegaskan bahwa ada beberapa orang yang bicara itu nggak tahu apa yang mereka bicarakan. Intinya, kita perlu memperhatikan orang yang kita ngomongin,"" tegasnya. Kendati begitu, Ahmad Dhani mengungkapkan bahwa dirinya berharap Sri Bintang bisa berkarya dan memperlihatkan kemampuan yang dimilikinya di industri musik tanah air. Ahmad Dhani juga berharap bahwa sosok Sri Bintang tidak menjadi obyek perdebatan yang tak berkesudahan di antara para penggemar musik dan publik di Indonesia. ""Setidaknya semua artis harus diberikan kesempatan yang sama untuk berkarya. Saya berharap Sri Bintang bisa berkarya dengan baik dan melebihi ekspektasi dari semua orang,"" harapnya. Meski begitu, klaim dari Sri Bintang mengenai Ahmad Dhani telah menjadi perhatian banyak pengguna media sosial. Banyak netizen yang menyatakan bahwa hal tersebut merupakan sebuah bukti bahwa industri musik di Indonesia selalu menarik perhatian masyarakat dan penuh dengan kontroversi. Maka dari itu, publik diharapkan mampu menghormati karya dari masing-masing musisi dan menghindari terjadinya perdebatan yang tak perlu di media sosial."
news-2-human,2,id_newspapers_2018,,manusia,manusia,benar,0.0095,Keputusan Presiden Joko Widodo menetapkan Kepala Badan Nasional Penanggulangan Terorisme (BNPT) Komisaris Jenderal Tito Karnavian sebagai calon tunggal Kapolri ,"Keputusan Presiden Joko Widodo menetapkan Kepala Badan Nasional Penanggulangan Terorisme (BNPT) Komisaris Jenderal Tito Karnavian sebagai calon tunggal Kapolri akan membuat proses regenerasi kepemimpinan di Polri terhambat. ""Jika Tito terpilih menjadi Kapolri akan menghambat proses regenerasi di Polri karena masih banyak angkatan di bawahnya (senior),"" kata anggota Komisi III DPR Junimart Girsang saat dihubungi, Rabu (15/6). Tito merupakan AKABRI angkatan tahun 1987 dan saat ini berusia 51 tahun. Pencalonan Tito melangkahi empat angkatan di bawahnya yang saat ini masih menjadi polisi aktif. Terdapat beberapa senior Tito yang dilangkahi, yaitu Wakapolri Komjen Budi Gunawan, Irwasum Komjen Dwi Priyatno, Kabaharkam Komjen Putut Eko Bayu Seno, Kepala BNN Komjen Budi Waseso, Kalemdikpol Komjen Syafruddin dan Sekretaris Utama Lemhannas Komjen Suhardi Alius. Untuk itu, Junimart berharap jika Tito terpilih menjadi Kapolri tidak menimbulkan konflik internal di Polri. ""Kita berharap dengan situasi ini, para perwira polisi (senior Tito) harus bisa memposisikan diri secara baik dan profesional. Jadi tidak bicara angkatan lagi,"" ujarnya. Junimart pun menegaskan, dalam empat bulan terakhir, PDIP tidak mendukung calon kapolri tertentu. PDIP hanya memberikan pandangan dan masukan kepada presiden mengenai calon kapolri yang layak. ""Kita hanya memberikan pandangan bahwa si A (contoh) sudah teruji, kinerjanya dengan mitra di DPR baik, atau manajemen Polri nya baik. PDIP tidak masalah dengan pencalonan Tito, kita mendukung saja,"" katanya. Pernyataan Tito sebagai calon kapolri, awalnya, diungkapkan oleh Ketua Dewan Perwakilan Rakyat RI Ade Komarudin. Hal itu berdasarkan surat Presiden Joko Widodo kepada parlemen hari ini, Rabu (15/6), terkait calon Kapolri. ""Surat tersebut berisi Presiden meminta pencalonan Komjen Tito Karnavian, satu-satunya, menjadi calon Kapolri menggantikan Jenderal Badrodin Haiti,"" kata Ade di Jakarta. Ade mengatakan DPR akan segera memproses surat Presiden yang masuk untuk kemudian dibawa ke rapat pimpinan untuk menyampaikan pencalonan Tito. ""Setelah itu diproses di Komisi III untuk fit and proper test,"" kata Ade. Uji kepatutan dan kelayakan itu kemungkinan digelar 22 Juni. Dihubungi terpisah, Ketua Komisi III Bambang Soesatyo membenarkan surat tersebut. Dia berkata saat ini surat itu masih berada di pimpinan Dewan dan rencananya besok akan dibawa ke Badan Musyawarah DPR. ""Kami harapkan sebelum memasuki libur hari raya Idul Fitri sudah bisa kami selesaikan dan bisa ditetapkan dalam pengambilan keputusan di sidang paripurna 28 Juni 2016,"" ujar Bambang."
news-2-ai,2,id_newspapers_2018,gpt-3.5-turbo,AI,AI,benar,0.9957,"Mantan Kepala Badan Reserse dan Kriminal Polri, Tito Karnavian diyakini salah satu kandidat kuat pengganti Jenderal Polisi Tito Karnavian sebagai Kapolri. Namun","Mantan Kepala Badan Reserse dan Kriminal Polri, Tito Karnavian diyakini salah satu kandidat kuat pengganti Jenderal Polisi Tito Karnavian sebagai Kapolri. Namun, keputusan yang diambil Presiden Joko Widodo harus dipertimbangkan dengan baik karena terdapat kekhawatiran bahwa regenerasi Polri akan terhambat jika Tito Karnavian terpilih. Regenerasi Polri selalu menjadi topik hangat dalam pembahasan struktur kepolisian di Indonesia. Setiap pergantian Kapolri selalu menyisakan polemik mengenai regenerasi dan reformasi Polri agar lebih baik lagi ke depannya. Karenanya, kekhawatiran tentang regenerasi menjadi wajar. Ada tiga hal yang menjadi alasan kekhawatiran tentang regenerasi Polri jika Tito Karnavian dipilih sebagai Kapolri. Pertama, Tito Karnavian tidak menunjukkan loyalitas yang konsisten terhadap reformasi Polri. Hal ini terbukti dengan pengangkatan Kapolri saat ini, Jenderal Idham Azis, yang diangkat secara sepihak tanpa melalui mekanisme open recruitment seperti yang dicanangkan sebelumnya. Kedua, terkait dengan kiprahnya sebagai Kabareskrim Polri, Tito Karnavian dicap sebagai sosok yang keras dan otoriter. Ia juga kerap mengambil keputusan yang kontroversial, seperti menangkap gubernur non-aktif DKI Jakarta Basuki Tjahaja Purnama alias Ahok pada 2016. Jika ditunjuk sebagai Kapolri, khawatir Tito Karnavian akan kembali menunjukkan atribut kepemimpinan yang sama seperti saat memimpin Kabareskrim. Ketiga, Tito Karnavian dianggap kurang proaktif menjalankan program reformasi Polri. Selama ia menjabat sebagai Kabareskrim Polri, beberapa bentuk pelanggaran etika terdapat dalam birokrasi internal Polri. Hal ini kemudian dianggap sebagai indikasi bahwa reformasi Polri belum sepenuhnya efektif dijalankan. Regenerasi Polri menjadi isu yang semakin hari semakin penting dibahas. Negara yang sejahtera, adil dan demokratis harus diwujudkan oleh keamanan yang baik. Namun keamanan tidak akan terwujud jika Polri tidak mampu menunjukkan kinerjanya secara profesional dan adil. Oleh karena itu, presiden harus mempertimbangkan dengan matang jika ingin menunjuk Tito Karnavian sebagai Kapolri selanjutnya. Warga negara Indonesia berharap adanya konsistensi dan proaktifitas Polri dalam menjalankan reformasi yang lebih efektif. Hal ini dapat diwujudkan dengan melakukan reformasi terhadap polisi dan menyuarakan perubahan demi menciptakan lembaga Polri yang lebih baik."
news-3-human,3,id_newspapers_2018,,manusia,manusia,benar,0.0019,Perusahaan semikonduktor Qualcomm mengumumkan kehadiran fitur SafeSwitch pada sejumlah prosesor untuk perangkat mobile buatannya. Fitur ini bisa mengunci perang,"Perusahaan semikonduktor Qualcomm mengumumkan kehadiran fitur SafeSwitch pada sejumlah prosesor untuk perangkat mobile buatannya. Fitur ini bisa mengunci perangkat jika dicuri. Fitur ini hadir pada lini produk Snapdragon 820, 620, 618, 617 dan 430. Ia diciptakan untuk mengatasi ancaman keamanan yang memungkinkan Anda menonaktifkan perangkat dari jarak jauh. Hal ini berguna ketika pengguna kehilangan perangkat dengan prosesor Snapdragon. Setelah ditemukan, Anda dapat kembali mengaktifkannya. 1.000 Insinyur Intel Ditugasi Buat Chip iPhone 7 Google Mau Desain Chip Sendiri untuk Android? Ponsel Lumia Bisa jadi PC Berkat Dua Prosesor Grafis Qualcomm Bikin Prosesor untuk Mobil Pintar Qualcomm SafeSwitch dirancang dengan mekanisme kerja berbasis peranti keras (hardware) yang dapat mendeteksi adanya penyimpangan penggunaan data atau peranti lunak (software) di negara yang sudah mengantongi sertifikasi. Pada saat diretas, perangkat akan terkunci secara otomatis dalam kondisi menyala dan membutuhkan ""kunci"" untuk membukanya. Pada saat terjadi kehilangan atau pencurian, SafeSwitch akan melumpuhkan hardware secara otomatis ketika mendeteksi adanya penggunaan perangkat lunak pihak ketiga yang mampu merusak software. Fitur ini dapat menonaktifkan modem sehingga perangkat tidak dapat melakukan atau menerima panggilan. Dengan SafeSwitch, pengguna atau operator jaringan juga dapat mengaktifkan password jarak jauh untuk menghapus data, memulihkan data, menemukan lokasi dimana perangkat berada, dan mengunci perangkat yang hilang atau dicuri. Dalam ajang pameran CES 2016, Januari lalu di Las Vegas, AS, Qualcomm menegaskan bahwa mereka sedang bekerjasama untuk menyertakan fitur ini ke dalam prosesor Snapdragon yang lain."
news-3-ai,3,id_newspapers_2018,gpt-3.5-turbo,AI,AI,benar,0.9998,Prosesor Snapdragon dipastikan semakin canggih dengan kemampuan Anti Maling yang baru-baru ini mereka sematkan. Hal tersebut dikonfirmasi oleh salah satu perusa,"Prosesor Snapdragon dipastikan semakin canggih dengan kemampuan Anti Maling yang baru-baru ini mereka sematkan. Hal tersebut dikonfirmasi oleh salah satu perusahaan teknologi kelas dunia, Qualcomm, yang merupakan pembuat prosesor Snapdragon tersebut. Fitur Anti Maling ini nantinya akan memungkinkan pemilik smartphone untuk memantau posisi perangkatnya secara real-time. Pasalnya, dalam keterangan resmi yang dilansir oleh Qualcomm, fitur ini mampu memberikan informasi terkait posisi perangkat dengan akurasi yang sangat tinggi. Bahkan, informasi tersebut akan dikirimkan secara otomatis ke pemiliknya. Kendati demikian, fitur Anti Maling ini baru akan diluncurkan pada versi terbaru dari prosesor Snapdragon. Diperkirakan, prosesor ini akan hadir dalam beberapa bulan ke depan. Sementara untuk harga, Qualcomm belum memberikan informasi resmi terkait hal tersebut. Selain itu, fitur ini bisa menjadi solusi bagi pemilik smartphone yang kerap kehilangan perangkat mereka. Dengan adanya fitur Anti Maling ini, pemilik smartphone bisa melacak posisi perangkat mereka dengan mudah dan cepat. Selain itu, hal tersebut juga bisa menghindarkan mereka dari kerugian yang mungkin terjadi akibat kehilangan perangkat yang mahal. Dalam keterangan resmi lainnya, Qualcomm mengatakan bahwa fitur Anti Maling ini akan membantu memperkuat keamanan data atau informasi yang ada pada smartphone. Dalam era digital seperti saat ini, keamanan informasi menjadi faktor penting yang tidak bisa diabaikan. Oleh karena itu, kehadiran fitur kiini dinilai sangat terobosan. Tak hanya itu, pemilik smartphone juga bisa mengunci perangkat mereka secara jarak jauh. Hal ini bisa dilakukan apabila pemilik smartphone menemukan bahwa perangkat mereka berada di tangan yang salah. Dalam keterangan resmi, Qualcomm menegaskan bahwa fitur ini akan sangat membantu dalam melindungi pengguna dari hal-hal yang tidak diinginkan. Sementara itu, para pengguna smartphone sendiri menyambut baik adanya fitur Anti Maling ini. Mereka berharap, kehadiran fitur tersebut benar-benar bisa membantu mereka dalam menjaga keamanan perangkat dan data mereka. Demikianlah beberapa hal terkait dengan kehadiran fitur Anti Maling pada prosesor Snapdragon yang terbaru. Semoga kehadiran fitur tersebut benar-benar bisa memberikan manfaat yang baik bagi para pengguna smartphone di seluruh dunia."
news-4-human,4,id_newspapers_2018,,manusia,manusia,benar,0.001,"Dari segi pariwisata, daya tarik Indonesia tidak bisa dimungkiri. Kekayaan alam dan pesona budaya mampu menarik banyak wisatawan. Meskipun demikian, menyediakan","Dari segi pariwisata, daya tarik Indonesia tidak bisa dimungkiri. Kekayaan alam dan pesona budaya mampu menarik banyak wisatawan. Meskipun demikian, menyediakan varian destinasi alternatif, juga menjadi hal penting. Itulah yang tengah diupayakan Kementerian Pariwisata (Kemenpar). Tidak hanya mengandalkan bentang alam Indonesia yang memikat, Kemenpar juga menjaring turis mancanegara lewat berbagai event Way Kambas Resmi Jadi Taman Warisan ASEAN Lima Destinasi Wisata Indonesia Mejeng di Amazing Race Asia Bandara Bali Raih Sertifikasi Internasional Layanan Penumpang Sekelumit Jakarta dan Pertaruhan Wajah Wisata Salah satunya lewat Sail Karimata 2016 Preevent Gathering yang digelar di Singapura. Penasehat Menteri Pariwisata di sektor bahari, Indroyono Soesilo bersama tim Percepatan dan Pengembangan Wisata Bahari Laksamana Marsetyo dan Aji Sularso, serta Head of Concelor KBRI Singapore Ridwan, mereka mempromosikan Kegiatan Festival Wisata Bahari Kepulauan Riau (Kepri) 2016. ""Kami melakukan pemaparan mengenai Kegiatan Festival Bahari Kepri yang dimulai dari tanggal 25-29 Oktober 2016, termasuk kegiatan sailing yang menjadi daya tarik dari event ini,"" ujar Asisten Deputi Pengembangan Pasar Asia Afrika Kemenpar, Rizki Handayan, dalam rilis yang diterima, pada Senin (1/8). Tujuan utama pertemuan tersebut adalah mengundang para yachter, sailor, boater dan pengelola Marina yang ada di Singapura, untuk berpartisipasi pada Sail Karimata yang akan dilaksanakan di Tanjung Pinang, Kepulauan Riau pada 29 Oktober 2016 mendatang. Rizki berharap, dengan suksesnya kegiatan Sail Karimata 2016, maka akan memperkuat destinasi Kepri sebagai pintu gerbang Pariwisata Bahari Indonesia, serta dapat meningkatkan pemberdayaan masyarakat pesisir dan usaha pariwisata sekitar sehingga memberikan dampak positif secara ekonomi kepada masyarakat sekitar. Kegiatan Sail Selat Karimata 2016 sendiri memasuki tahun ke delapan sejak digelar 2009 lalu. Acara ini ditargetkan dapat dikunjungi oleh 15 ribu wisatawan, lima ribu di antaranya wisatawan mancanegara melalui kapal-kapal wisata internasional, yang mayoritas berasal dari Singapura, Malaysia dan Thailand. Promosi wisata bahari lainnya yang juga dilakukan Indonesia adalah dengan berpartisipasi di pameran pariwisata Malaysia International Dive Expo (MIDE) 2016 di Putra World Trade Centre, Kuala Lumpur, Malaysia, pekan lalu. Selama tiga hari penyelenggaraan MIDE 2016, banyak hal yang diperkenalkan Indonesia, terutama dari segi destinasi selam. Terdapat 13 destinasi selam yang dipromosikan di MIDE 2016, di antaranya yang berada di Aceh, Jakarta, Bali, Bunaken, Manado, Raja Ampat, serta Banda Neira. Menpar Arief Yahya menyebut, upaya berpromosi di pasar wisata bawah laut itu cukup tepat, karena tren wisata dunia semakin bergeser ke arah wisata bahari. ""Bukan hanya pasar Malaysia, tapi juga Hongkong, Taiwan, China dan Korea juga sudah mulai heboh dengan pasar underwater,"" kata Arief Yahya."
news-4-ai,4,id_newspapers_2018,gpt-3.5-turbo,AI,AI,benar,0.9995,"Dewasa ini semakin banyak tempat wisata bahari yang mulai dijadikan sebagai alternatif wisata bagi para turis mancanegara. Dalam hal ini, budaya memancing menja","Dewasa ini semakin banyak tempat wisata bahari yang mulai dijadikan sebagai alternatif wisata bagi para turis mancanegara. Dalam hal ini, budaya memancing menjadi salah satu daya tarik tersendiri di dalam rangka mengajak wisatawan melihat keindahan bumi Indonesia. Salah satu kawasan yang menjadi pusat perhatian tempat wisata bahari adalah Nusa Penida, Bali. Tempat ini memiliki banyak spot memancing yang terletak di sekitar dermaga. Selain itu, Nusa Penida juga menyimpan keindahan pantai tersembunyi yang akan memukau para wisatawan. Adapun keistimewaan dari wisata memancing ini adalah turis bisa merasakan sensasi menangkap ikan dengan menggunakan joran dan umpan di lautan terbuka. Selain itu, wisatawan juga dapat merasakan sensasi membawa ikan yang mereka tangkap ke darat dan mengolahnya menjadi hidangan nikmat yang memiliki cita rasa tersendiri. Salah satu contoh perusahaan yang menawarkan pengalaman memancing bagi para wisatawan adalah Bali Fishing Discovery. Mereka menawarkan paket wisata memancing yang meliputi seluruh peralatan dan bantuan dari instruktur yang berpengalaman. Hal yang perlu diperhatikan bagi para wisatawan ketika berwisata memancing adalah keselamatan diri saat berada di tengah laut. Karena memancing bisa jadi membutuhkan waktu yang lama, para wisatawan disarankan untuk membawa peralatan keamanan seperti jaket pelampung. Selain Bali, Sumatera Barat juga menjadi tempat wisata memancing yang tak boleh dilewatkan. Sumatera Barat terkenal dengan keberadaan Danau Maninjau yang menawarkan pemandangan indah dan perairan yang jernih. Wisatawan dapat menikmati keindahan alam sekitar dan memancing ikan di danau tersebut. Menariknya, di Sumatera Barat terdapat tradisi memancing yang cukup unik bagi para wisatawan. Wisatawan dapat merasakan sensasi memancing menggunakan jaring besar yang pinangannya berisi ikan di Danau Singkarak. Kegiatan wisata memancing bisa jadi menjadi variatif dan seru dalam hal mengajak para wisatawan melihat keindahan bumi Indonesia. Semoga segala kekayaan bahari yang dimiliki oleh Indonesia dapat semakin dikenal dan dijaga dengan baik oleh masyarakat Indonesia."
