model,metric,mean,sd,mean_sd
Random Forest,Accuracy,0.9722199999999999,0.0027224988521576663,0.9722 ± 0.0027
Random Forest,F1-Macro,0.9722199999999999,0.0027224988521576663,0.9722 ± 0.0027
Random Forest,ROC-AUC,0.99674,0.0005594640292279715,0.9967 ± 0.0006
Random Forest,Balanced Accuracy,0.9722799999999999,0.002749909089406404,0.9723 ± 0.0027
Random Forest,Precision (AI),0.98164,0.0021431285542402793,0.9816 ± 0.0021
Random Forest,Recall (AI),0.96264,0.005606068140863074,0.9626 ± 0.0056
Random Forest,Training F1-Macro,0.99678,0.0005540758070877998,0.9968 ± 0.0006
Random Forest,Train–Validation Gap,0.02454,0.0024673872821265814,0.0245 ± 0.0025
XGBoost,Accuracy,0.9827600000000001,0.0017096783323186707,0.9828 ± 0.0017
XGBoost,F1-Macro,0.9827600000000001,0.0017096783323186707,0.9828 ± 0.0017
XGBoost,ROC-AUC,0.9986200000000001,0.00037682887362834843,0.9986 ± 0.0004
XGBoost,Balanced Accuracy,0.9827999999999999,0.0017363755354185169,0.9828 ± 0.0017
XGBoost,Precision (AI),0.9872200000000001,0.004465646649702577,0.9872 ± 0.0045
XGBoost,Recall (AI),0.97834,0.002640643860879396,0.9783 ± 0.0026
XGBoost,Training F1-Macro,1.0,0.0,1.0000 ± 0.0000
XGBoost,Train–Validation Gap,0.01724,0.0017096783323186841,0.0172 ± 0.0017
CatBoost,Accuracy,0.98378,0.0015221695043588224,0.9838 ± 0.0015
CatBoost,F1-Macro,0.98378,0.0015221695043588224,0.9838 ± 0.0015
CatBoost,ROC-AUC,0.99834,0.0005594640292279636,0.9983 ± 0.0006
CatBoost,Balanced Accuracy,0.98378,0.0015221695043588224,0.9838 ± 0.0015
CatBoost,Precision (AI),0.9865999999999999,0.003488552708502477,0.9866 ± 0.0035
CatBoost,Recall (AI),0.98098,0.0036697411352846344,0.9810 ± 0.0037
CatBoost,Training F1-Macro,1.0,0.0,1.0000 ± 0.0000
CatBoost,Train–Validation Gap,0.016220000000000002,0.0015221695043588276,0.0162 ± 0.0015
