kombinasi,n_fitur,model,f1_macro_mean,f1_macro_std,roc_auc_mean,bal_acc_mean,recall_AI_mean,presisi_AI_mean
sty+tfidf+bert+perp,4,CatBoost,0.98378,0.0015221695043588178,0.99834,0.98378,0.98098,0.9865999999999999
sty+bert+perp,3,CatBoost,0.98292,0.002389979079406364,0.9983000000000001,0.9829399999999999,0.98066,0.9852599999999999
sty+tfidf+bert+perp,4,XGBoost,0.9827600000000001,0.001709678332318669,0.9986200000000001,0.9827999999999999,0.97834,0.98722
sty+tfidf+perp,3,CatBoost,0.9814399999999999,0.0022400892839349006,0.99788,0.9814399999999999,0.9786400000000001,0.98424
sty+bert+perp,3,XGBoost,0.9807600000000001,0.0039035880930241643,0.9985200000000001,0.9807600000000001,0.97798,0.9835799999999999
sty+tfidf+perp,3,XGBoost,0.98026,0.003473182978191607,0.9978999999999999,0.9802799999999999,0.9753399999999999,0.98522
tfidf+bert+perp,3,CatBoost,0.9785999999999999,0.004966890375275036,0.9974000000000001,0.9785999999999999,0.97966,0.97772
tfidf+bert+perp,3,XGBoost,0.9771000000000001,0.004692014492731219,0.9977,0.9771000000000001,0.9776399999999998,0.97674
bert+perp,2,XGBoost,0.97692,0.005107053945279986,0.99746,0.9769399999999999,0.9766600000000001,0.97736
bert+perp,2,CatBoost,0.9752599999999999,0.006456624505111017,0.9971,0.9752599999999999,0.97432,0.97632
sty+perp,2,CatBoost,0.9736,0.003358571124749343,0.9965400000000001,0.9735799999999999,0.97068,0.97654
sty+perp,2,Random Forest,0.9727600000000001,0.003943095230906805,0.9957,0.9727600000000001,0.9643200000000001,0.98102
sty+tfidf+bert+perp,4,Random Forest,0.9722199999999999,0.0027224988521576737,0.99674,0.9722799999999999,0.96264,0.98164
sty+perp,2,XGBoost,0.9719,0.004331858723458101,0.9958,0.9719,0.9686600000000001,0.9751799999999999
sty+tfidf+bert,3,XGBoost,0.97158,0.0033789051481212225,0.9968999999999999,0.97158,0.9693200000000001,0.97386
tfidf+bert+perp,3,Random Forest,0.97156,0.007724506456725867,0.9958600000000001,0.97156,0.9693400000000001,0.97402
sty+bert+perp,3,Random Forest,0.97108,0.0036175958867734254,0.99642,0.9711000000000001,0.96,0.98194
sty+tfidf+bert,3,CatBoost,0.97108,0.004041905491225657,0.99634,0.97108,0.97136,0.97104
sty+tfidf+perp,3,Random Forest,0.9702400000000001,0.0035175275407592793,0.9959,0.97026,0.9613400000000001,0.97896
sty+bert,2,CatBoost,0.96922,0.006094833877965803,0.99596,0.9692000000000001,0.97066,0.9680799999999999
sty+bert,2,XGBoost,0.9668599999999999,0.004879856555268796,0.9963000000000001,0.9669000000000001,0.9650000000000001,0.9688800000000001
tfidf+bert,2,CatBoost,0.9668599999999999,0.007377194588730834,0.9948,0.9668800000000001,0.97068,0.96364
tfidf+bert,2,XGBoost,0.9650399999999999,0.0051597480558647655,0.99476,0.9650399999999999,0.96836,0.96228
bert,1,CatBoost,0.9618399999999999,0.005451421832879912,0.9935,0.96186,0.9650000000000001,0.9593
bert,1,XGBoost,0.9617000000000001,0.005369823088333538,0.99354,0.96166,0.96466,0.9592600000000001
tfidf+perp,2,XGBoost,0.9615199999999999,0.0031538864912992745,0.9943799999999999,0.9615,0.96434,0.95924
sty+tfidf,2,XGBoost,0.9603400000000001,0.005115955433738658,0.994,0.96036,0.9606600000000001,0.96038
tfidf+perp,2,CatBoost,0.9597,0.004339930875025568,0.9932000000000001,0.95968,0.9620200000000001,0.95792
bert+perp,2,Random Forest,0.9588599999999999,0.0073991891447644335,0.99376,0.95888,0.9529799999999999,0.96466
sty+tfidf,2,CatBoost,0.9564999999999999,0.00425088226136644,0.9932400000000001,0.9564999999999999,0.96098,0.95282
tfidf+perp,2,Random Forest,0.95466,0.003622568149807521,0.9909399999999999,0.95468,0.9550000000000001,0.95486
sty+tfidf+bert,3,Random Forest,0.952,0.0060704200843104345,0.99082,0.9520199999999999,0.9486800000000001,0.95534
sty+bert,2,Random Forest,0.9449799999999999,0.002996998498498146,0.98878,0.9449799999999999,0.94234,0.9477
tfidf+bert,2,Random Forest,0.94396,0.002579341001108627,0.9856199999999999,0.94392,0.9520199999999999,0.9374
sty+tfidf,2,Random Forest,0.94262,0.008072608004851942,0.9873799999999999,0.9426400000000001,0.9396800000000001,0.94568
bert,1,Random Forest,0.93894,0.004280537349445718,0.98568,0.9389200000000001,0.9490000000000001,0.9307399999999999
sty,1,CatBoost,0.9359400000000001,0.004651666368087868,0.9846600000000001,0.93596,0.9363400000000001,0.93606
sty,1,Random Forest,0.9357800000000001,0.005898050525385479,0.9826,0.9358000000000001,0.93566,0.93636
sty,1,XGBoost,0.93578,0.00475468190313504,0.98376,0.93578,0.93402,0.93782
tfidf,1,XGBoost,0.9249,0.007148426400264624,0.9759399999999999,0.92494,0.91766,0.93184
tfidf,1,CatBoost,0.92036,0.009168860343575978,0.974,0.9204000000000001,0.91266,0.92768
perp,1,CatBoost,0.8955400000000001,0.004369553752959229,0.9493600000000001,0.89556,0.91632,0.8808999999999999
perp,1,XGBoost,0.8930400000000001,0.0013939153489361915,0.94876,0.8930400000000001,0.9143399999999999,0.8779399999999999
tfidf,1,Random Forest,0.8902599999999999,0.008482806139480032,0.9573599999999999,0.8902599999999999,0.889,0.89222
perp,1,Random Forest,0.88656,0.00623241526215962,0.94276,0.88652,0.90532,0.87378
