kombinasi,n_fitur,dokumen_fusi_penuh_salah_yang_diselamatkan,persen_dari_error_fusi_penuh
tfidf,1,66,68.04123711340206
tfidf+bert,2,62,63.91752577319588
bert,1,58,59.79381443298969
sty+bert,2,49,50.51546391752577
sty+tfidf+bert,3,48,49.48453608247423
sty+tfidf,2,39,40.20618556701031
sty,1,33,34.02061855670103
tfidf+perp,2,27,27.835051546391753
tfidf+bert+perp,3,27,27.835051546391753
perp,1,26,26.804123711340207
bert+perp,2,24,24.742268041237114
sty+bert+perp,3,14,14.43298969072165
sty+tfidf+perp,3,13,13.402061855670103
sty+perp,2,11,11.34020618556701
